

** [alpha] Launch Training on 20230812_1837 HPO desc: alpha_0.25_lambda_weight_0.1
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": false,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 250,
  "resume": false,
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "early_stop": false,
  "lr_scheduling": "exp",
  "lr": 0.0001,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "hpo_params": [
    "alpha",
    "lambda_weight"
  ],
  "lambda_weight": [
    0.1,
    0.2,
    0.33
  ],
  "alpha": [
    0.25,
    0.5,
    0.75
  ],
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* HPO test\n*   20230811: \n*   20230812: init lr -> 0.0001\n",
  "numGPUs": 4,
  "finalEPOCH": 0,
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_HPO.yaml",
  "numTrainDB": 11830,
  "numEvalDB": 3600,
  "numTrainSteps": 211,
  "numEvalSteps": 64,
  "train": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "eval": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "dbg_file_logging": "dbg_file_logging",
  "log_file": "<_io.TextIOWrapper name='logs/hpo_history_log/20230812_1837/hpo_log_DLV3+_ResNet50_alpha_0.25_lambda_weight_0.1.txt' mode='w' encoding='UTF-8'>"
}
@20230812_1839 @20230812_1839 [EP 1/250] lr: 9.97904353425838e-05, took: 114.48s (avg: 114.48s), ETA: 0d:7h:53m:6s [TRAIN] loss: 29851.8320, iou: 0.0087, f1: 0.0171 [EVAL] loss: 87540.9531, iou: 0.0026, f1: 0.0053
@20230812_1840 @20230812_1840 [EP 2/250] lr: 9.958076407201588e-05, took: 61.94s (avg: 61.94s), ETA: 0d:4h:12m:8s [TRAIN] loss: 4848.7334, iou: 0.0412, f1: 0.0777 [EVAL] loss: 9944.8076, iou: 0.0028, f1: 0.0056
@20230812_1841 @20230812_1841 [EP 3/250] lr: 9.937196591636166e-05, took: 61.58s (avg: 61.58s), ETA: 0d:4h:11m:7s [TRAIN] loss: 2656.0393, iou: 0.0712, f1: 0.1300 [EVAL] loss: 6860.9956, iou: 0.0032, f1: 0.0064
@20230812_1843 @20230812_1843 [EP 4/250] lr: 9.916404087562114e-05, took: 61.42s (avg: 61.42s), ETA: 0d:4h:10m:6s [TRAIN] loss: 1768.8489, iou: 0.0975, f1: 0.1735 [EVAL] loss: 5881.1533, iou: 0.0035, f1: 0.0069
@20230812_1844 @20230812_1844 [EP 5/250] lr: 9.895698894979432e-05, took: 61.57s (avg: 61.57s), ETA: 0d:4h:9m:5s [TRAIN] loss: 1344.2313, iou: 0.1189, f1: 0.2076 [EVAL] loss: 4437.8101, iou: 0.0148, f1: 0.0291
@20230812_1845 @20230812_1845 [EP 6/250] lr: 9.875079558696598e-05, took: 61.62s (avg: 61.62s), ETA: 0d:4h:8m:4s [TRAIN] loss: 1065.6831, iou: 0.1418, f1: 0.2426 [EVAL] loss: 3270.4155, iou: 0.0612, f1: 0.1148
@20230812_1846 @20230812_1846 [EP 7/250] lr: 9.854546806309372e-05, took: 61.37s (avg: 61.37s), ETA: 0d:4h:7m:3s [TRAIN] loss: 922.8101, iou: 0.1633, f1: 0.2742 [EVAL] loss: 2440.7964, iou: 0.0969, f1: 0.1757
@20230812_1848 @20230812_1848 [EP 8/250] lr: 9.834098455030471e-05, took: 61.48s (avg: 61.48s), ETA: 0d:4h:6m:2s [TRAIN] loss: 836.2690, iou: 0.1817, f1: 0.3005 [EVAL] loss: 2033.2178, iou: 0.1257, f1: 0.2224
@20230812_1849 @20230812_1849 [EP 9/250] lr: 9.813734504859895e-05, took: 61.38s (avg: 61.38s), ETA: 0d:4h:5m:1s [TRAIN] loss: 786.4015, iou: 0.1972, f1: 0.3220 [EVAL] loss: 1646.1967, iou: 0.1646, f1: 0.2813
@20230812_1850 @20230812_1850 [EP 10/250] lr: 9.793455683393404e-05, took: 61.57s (avg: 61.57s), ETA: 0d:4h:4m:0s [TRAIN] loss: 759.0740, iou: 0.2116, f1: 0.3415 [EVAL] loss: 1495.2473, iou: 0.1695, f1: 0.2885
@20230812_1852 @20230812_1852 [EP 11/250] lr: 9.773259807843715e-05, took: 61.39s (avg: 61.39s), ETA: 0d:4h:2m:59s [TRAIN] loss: 709.4183, iou: 0.2267, f1: 0.3617 [EVAL] loss: 1380.0544, iou: 0.1815, f1: 0.3056
@20230812_1853 @20230812_1853 [EP 12/250] lr: 9.753146878210828e-05, took: 61.71s (avg: 61.71s), ETA: 0d:4h:1m:58s [TRAIN] loss: 689.4729, iou: 0.2402, f1: 0.3794 [EVAL] loss: 1348.0731, iou: 0.2036, f1: 0.3365
@20230812_1854 @20230812_1854 [EP 13/250] lr: 9.733116894494742e-05, took: 61.26s (avg: 61.26s), ETA: 0d:4h:0m:57s [TRAIN] loss: 655.4644, iou: 0.2527, f1: 0.3954 [EVAL] loss: 1425.5022, iou: 0.2067, f1: 0.3406
@20230812_1855 @20230812_1855 [EP 14/250] lr: 9.713169129099697e-05, took: 61.30s (avg: 61.30s), ETA: 0d:3h:59m:56s [TRAIN] loss: 645.1869, iou: 0.2647, f1: 0.4106 [EVAL] loss: 1210.3124, iou: 0.2286, f1: 0.3702
@20230812_1857 @20230812_1857 [EP 15/250] lr: 9.69330285442993e-05, took: 61.16s (avg: 61.16s), ETA: 0d:3h:58m:55s [TRAIN] loss: 594.3254, iou: 0.2789, f1: 0.4283 [EVAL] loss: 1219.1658, iou: 0.2369, f1: 0.3810
@20230812_1858 @20230812_1858 [EP 16/250] lr: 9.673518070485443e-05, took: 61.30s (avg: 61.30s), ETA: 0d:3h:57m:54s [TRAIN] loss: 555.2444, iou: 0.2934, f1: 0.4458 [EVAL] loss: 1390.1433, iou: 0.2305, f1: 0.3725
@20230812_1859 @20230812_1859 [EP 17/250] lr: 9.653813322074711e-05, took: 61.42s (avg: 61.42s), ETA: 0d:3h:56m:53s [TRAIN] loss: 562.8508, iou: 0.3029, f1: 0.4569 [EVAL] loss: 1296.7626, iou: 0.2633, f1: 0.4142
@20230812_1900 @20230812_1900 [EP 18/250] lr: 9.634190064389259e-05, took: 61.37s (avg: 61.37s), ETA: 0d:3h:55m:52s [TRAIN] loss: 593.0791, iou: 0.3092, f1: 0.4644 [EVAL] loss: 1108.8853, iou: 0.2864, f1: 0.4425
@20230812_1902 @20230812_1902 [EP 19/250] lr: 9.614645387046039e-05, took: 61.35s (avg: 61.35s), ETA: 0d:3h:54m:51s [TRAIN] loss: 562.5408, iou: 0.3227, f1: 0.4802 [EVAL] loss: 1304.9191, iou: 0.2504, f1: 0.3980
@20230812_1903 @20230812_1903 [EP 20/250] lr: 9.595179290045053e-05, took: 61.26s (avg: 61.26s), ETA: 0d:3h:53m:50s [TRAIN] loss: 511.7567, iou: 0.3385, f1: 0.4982 [EVAL] loss: 1248.7831, iou: 0.2764, f1: 0.4305
@20230812_1904 @20230812_1904 [EP 21/250] lr: 9.575792500982061e-05, took: 61.47s (avg: 61.47s), ETA: 0d:3h:52m:49s [TRAIN] loss: 481.2125, iou: 0.3523, f1: 0.5135 [EVAL] loss: 1222.5321, iou: 0.2991, f1: 0.4576
@20230812_1905 @20230812_1905 [EP 22/250] lr: 9.556483564665541e-05, took: 61.46s (avg: 61.46s), ETA: 0d:3h:51m:48s [TRAIN] loss: 475.0843, iou: 0.3629, f1: 0.5251 [EVAL] loss: 1232.8373, iou: 0.3118, f1: 0.4724
@20230812_1906 @20230812_1906 [EP 23/250] lr: 9.537252481095493e-05, took: 61.30s (avg: 61.30s), ETA: 0d:3h:50m:47s [TRAIN] loss: 494.7121, iou: 0.3701, f1: 0.5328 [EVAL] loss: 1099.4247, iou: 0.3483, f1: 0.5135
@20230812_1907 @20230812_1907 [EP 24/250] lr: 9.518098522676155e-05, took: 61.53s (avg: 61.53s), ETA: 0d:3h:49m:46s [TRAIN] loss: 515.9279, iou: 0.3771, f1: 0.5404 [EVAL] loss: 1175.4763, iou: 0.3287, f1: 0.4917
@20230812_1909 @20230812_1909 [EP 25/250] lr: 9.499021689407527e-05, took: 61.30s (avg: 61.30s), ETA: 0d:3h:48m:45s [TRAIN] loss: 475.8858, iou: 0.3936, f1: 0.5579 [EVAL] loss: 1330.7571, iou: 0.3103, f1: 0.4704
@20230812_1910 @20230812_1910 [EP 26/250] lr: 9.480020526098087e-05, took: 61.40s (avg: 61.40s), ETA: 0d:3h:47m:44s [TRAIN] loss: 454.4396, iou: 0.4061, f1: 0.5711 [EVAL] loss: 1464.0858, iou: 0.3106, f1: 0.4704
@20230812_1911 @20230812_1911 [EP 27/250] lr: 9.461095760343596e-05, took: 61.46s (avg: 61.46s), ETA: 0d:3h:46m:43s [TRAIN] loss: 442.5164, iou: 0.4174, f1: 0.5826 [EVAL] loss: 1394.9679, iou: 0.3235, f1: 0.4855
@20230812_1912 @20230812_1912 [EP 28/250] lr: 9.442246664548293e-05, took: 61.42s (avg: 61.42s), ETA: 0d:3h:45m:42s [TRAIN] loss: 430.5259, iou: 0.4303, f1: 0.5954 [EVAL] loss: 1424.0873, iou: 0.3273, f1: 0.4897
@20230812_1913 @20230812_1913 [EP 29/250] lr: 9.423471783520654e-05, took: 61.26s (avg: 61.26s), ETA: 0d:3h:44m:41s [TRAIN] loss: 455.7765, iou: 0.4361, f1: 0.6010 [EVAL] loss: 1459.7937, iou: 0.3403, f1: 0.5038
@20230812_1914 @20230812_1914 [EP 30/250] lr: 9.404771844856441e-05, took: 61.33s (avg: 61.33s), ETA: 0d:3h:43m:40s [TRAIN] loss: 494.2326, iou: 0.4385, f1: 0.6035 [EVAL] loss: 1195.0120, iou: 0.3771, f1: 0.5441
@20230812_1915 @20230812_1915 [EP 31/250] lr: 9.386146120959893e-05, took: 61.29s (avg: 61.29s), ETA: 0d:3h:42m:39s [TRAIN] loss: 477.6126, iou: 0.4492, f1: 0.6140 [EVAL] loss: 1062.1307, iou: 0.4075, f1: 0.5758
@20230812_1916 @20230812_1916 [EP 32/250] lr: 9.367593156639487e-05, took: 61.43s (avg: 61.43s), ETA: 0d:3h:41m:38s [TRAIN] loss: 443.2958, iou: 0.4656, f1: 0.6296 [EVAL] loss: 1057.8798, iou: 0.4419, f1: 0.6093
@20230812_1918 @20230812_1918 [EP 33/250] lr: 9.349114407086745e-05, took: 61.20s (avg: 61.20s), ETA: 0d:3h:40m:37s [TRAIN] loss: 418.2086, iou: 0.4782, f1: 0.6414 [EVAL] loss: 1237.1129, iou: 0.4205, f1: 0.5884
@20230812_1919 @20230812_1919 [EP 34/250] lr: 9.330707689514384e-05, took: 61.16s (avg: 61.16s), ETA: 0d:3h:39m:36s [TRAIN] loss: 399.6411, iou: 0.4918, f1: 0.6541 [EVAL] loss: 1331.5831, iou: 0.4031, f1: 0.5709
@20230812_1920 @20230812_1920 [EP 35/250] lr: 9.312373731518164e-05, took: 61.27s (avg: 61.27s), ETA: 0d:3h:38m:35s [TRAIN] loss: 390.2206, iou: 0.5066, f1: 0.6676 [EVAL] loss: 1404.9532, iou: 0.4058, f1: 0.5734
@20230812_1921 @20230812_1921 [EP 36/250] lr: 9.294111805502325e-05, took: 61.29s (avg: 61.29s), ETA: 0d:3h:37m:34s [TRAIN] loss: 387.6019, iou: 0.5182, f1: 0.6779 [EVAL] loss: 1366.1112, iou: 0.4013, f1: 0.5688
@20230812_1922 @20230812_1922 [EP 37/250] lr: 9.275921183871105e-05, took: 61.19s (avg: 61.19s), ETA: 0d:3h:36m:33s [TRAIN] loss: 392.5137, iou: 0.5265, f1: 0.6852 [EVAL] loss: 1252.3147, iou: 0.4411, f1: 0.6075
@20230812_1923 @20230812_1923 [EP 38/250] lr: 9.257801139028743e-05, took: 61.23s (avg: 61.23s), ETA: 0d:3h:35m:32s [TRAIN] loss: 399.4201, iou: 0.5330, f1: 0.6909 [EVAL] loss: 1274.3954, iou: 0.4517, f1: 0.6179
@20230812_1924 @20230812_1924 [EP 39/250] lr: 9.239752398571e-05, took: 61.32s (avg: 61.32s), ETA: 0d:3h:34m:31s [TRAIN] loss: 408.6874, iou: 0.5426, f1: 0.6992 [EVAL] loss: 1133.5579, iou: 0.4981, f1: 0.6607
@20230812_1925 @20230812_1925 [EP 40/250] lr: 9.221773507306352e-05, took: 61.37s (avg: 61.37s), ETA: 0d:3h:33m:30s [TRAIN] loss: 412.0746, iou: 0.5385, f1: 0.6955 [EVAL] loss: 1635.0480, iou: 0.4166, f1: 0.5834
@20230812_1926 @20230812_1926 [EP 41/250] lr: 9.203865192830563e-05, took: 61.29s (avg: 61.29s), ETA: 0d:3h:32m:29s [TRAIN] loss: 400.9353, iou: 0.5601, f1: 0.7141 [EVAL] loss: 1062.4752, iou: 0.5153, f1: 0.6759
@20230812_1928 @20230812_1928 [EP 42/250] lr: 9.186025272356346e-05, took: 61.30s (avg: 61.30s), ETA: 0d:3h:31m:28s [TRAIN] loss: 408.3954, iou: 0.5656, f1: 0.7187 [EVAL] loss: 1056.7570, iou: 0.5085, f1: 0.6701
@20230812_1929 @20230812_1929 [EP 43/250] lr: 9.168255201075226e-05, took: 61.43s (avg: 61.43s), ETA: 0d:3h:30m:27s [TRAIN] loss: 404.2234, iou: 0.5719, f1: 0.7238 [EVAL] loss: 1046.0735, iou: 0.5164, f1: 0.6772
@20230812_1930 @20230812_1930 [EP 44/250] lr: 9.150553523795679e-05, took: 61.36s (avg: 61.36s), ETA: 0d:3h:29m:26s [TRAIN] loss: 403.5848, iou: 0.5828, f1: 0.7328 [EVAL] loss: 1311.7267, iou: 0.4547, f1: 0.6216
@20230812_1931 @20230812_1931 [EP 45/250] lr: 9.132920968113467e-05, took: 61.33s (avg: 61.33s), ETA: 0d:3h:28m:25s [TRAIN] loss: 379.3144, iou: 0.6017, f1: 0.7481 [EVAL] loss: 1376.9392, iou: 0.4523, f1: 0.6188
@20230812_1932 @20230812_1932 [EP 46/250] lr: 9.115355351241305e-05, took: 61.45s (avg: 61.45s), ETA: 0d:3h:27m:24s [TRAIN] loss: 351.8992, iou: 0.6169, f1: 0.7601 [EVAL] loss: 1085.8103, iou: 0.5258, f1: 0.6850
