

** [alpha] Launch Training on 20230814_0635 HPO desc: alpha_0.75_lambda_weight_0.33
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": false,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 250,
  "resume": false,
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "early_stop": false,
  "lr_scheduling": "exp",
  "lr": 0.0001,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "hpo_params": [
    "alpha",
    "lambda_weight"
  ],
  "lambda_weight": [
    0.1,
    0.2,
    0.33
  ],
  "alpha": [
    0.25,
    0.5,
    0.75
  ],
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* HPO test\n*   20230811: \n*   20230812: init lr -> 0.0001\n",
  "numGPUs": 4,
  "finalEPOCH": 250,
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_HPO.yaml",
  "numTrainDB": 11830,
  "numEvalDB": 3600,
  "numTrainSteps": 211,
  "numEvalSteps": 64,
  "train": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "eval": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "dbg_file_logging": "dbg_file_logging",
  "log_file": "<_io.TextIOWrapper name='logs/hpo_history_log/20230812_1837/hpo_log_DLV3+_ResNet50_alpha_0.75_lambda_weight_0.33.txt' mode='w' encoding='UTF-8'>",
  "github_logging": "github_logging",
  "github_log_file": "logs/hpo/DLV3+_ResNet50_alpha_0.75_lambda_weight_0.2.txt"
}
@20230814_0637 @20230814_0637 [EP 1/250] lr: 9.97904353425838e-05, took: 113.06s (avg: 113.06s), ETA: 0d:7h:48m:57s [TRAIN] loss: 17028.6895, iou: 0.0037, f1: 0.0073 [EVAL] loss: 20807.4961, iou: 0.0029, f1: 0.0058
@20230814_0638 @20230814_0638 [EP 2/250] lr: 9.958076407201588e-05, took: 61.68s (avg: 61.68s), ETA: 0d:4h:12m:8s [TRAIN] loss: 3785.8142, iou: 0.0178, f1: 0.0337 [EVAL] loss: 6679.0400, iou: 0.0044, f1: 0.0087
@20230814_0640 @20230814_0640 [EP 3/250] lr: 9.937196591636166e-05, took: 61.76s (avg: 61.76s), ETA: 0d:4h:11m:7s [TRAIN] loss: 2172.5522, iou: 0.0626, f1: 0.1147 [EVAL] loss: 7271.0015, iou: 0.0132, f1: 0.0259
@20230814_0641 @20230814_0641 [EP 4/250] lr: 9.916404087562114e-05, took: 61.93s (avg: 61.93s), ETA: 0d:4h:10m:6s [TRAIN] loss: 1530.2850, iou: 0.0949, f1: 0.1690 [EVAL] loss: 2673.0181, iou: 0.0439, f1: 0.0827
@20230814_0642 @20230814_0642 [EP 5/250] lr: 9.895698894979432e-05, took: 61.87s (avg: 61.87s), ETA: 0d:4h:9m:5s [TRAIN] loss: 1210.8883, iou: 0.1224, f1: 0.2127 [EVAL] loss: 1862.0739, iou: 0.0815, f1: 0.1480
@20230814_0644 @20230814_0644 [EP 6/250] lr: 9.875079558696598e-05, took: 61.96s (avg: 61.96s), ETA: 0d:4h:8m:4s [TRAIN] loss: 1020.3032, iou: 0.1472, f1: 0.2504 [EVAL] loss: 1721.9817, iou: 0.1017, f1: 0.1831
@20230814_0645 @20230814_0645 [EP 7/250] lr: 9.854546806309372e-05, took: 61.86s (avg: 61.86s), ETA: 0d:4h:7m:3s [TRAIN] loss: 919.3636, iou: 0.1674, f1: 0.2802 [EVAL] loss: 1934.6688, iou: 0.0979, f1: 0.1766
@20230814_0646 @20230814_0646 [EP 8/250] lr: 9.834098455030471e-05, took: 61.79s (avg: 61.79s), ETA: 0d:4h:6m:2s [TRAIN] loss: 837.5965, iou: 0.1876, f1: 0.3089 [EVAL] loss: 2097.6633, iou: 0.1124, f1: 0.2000
@20230814_0647 @20230814_0647 [EP 9/250] lr: 9.813734504859895e-05, took: 61.88s (avg: 61.88s), ETA: 0d:4h:5m:1s [TRAIN] loss: 777.9668, iou: 0.2046, f1: 0.3327 [EVAL] loss: 2595.6050, iou: 0.0617, f1: 0.1150
@20230814_0648 @20230814_0648 [EP 10/250] lr: 9.793455683393404e-05, took: 61.83s (avg: 61.83s), ETA: 0d:4h:4m:0s [TRAIN] loss: 714.6501, iou: 0.2229, f1: 0.3571 [EVAL] loss: 1949.9061, iou: 0.1392, f1: 0.2420
@20230814_0650 @20230814_0650 [EP 11/250] lr: 9.773259807843715e-05, took: 61.82s (avg: 61.82s), ETA: 0d:4h:2m:59s [TRAIN] loss: 720.3115, iou: 0.2325, f1: 0.3703 [EVAL] loss: 1848.8851, iou: 0.1194, f1: 0.2099
@20230814_0651 @20230814_0651 [EP 12/250] lr: 9.753146878210828e-05, took: 61.91s (avg: 61.91s), ETA: 0d:4h:1m:58s [TRAIN] loss: 642.2594, iou: 0.2541, f1: 0.3978 [EVAL] loss: 1411.4530, iou: 0.2253, f1: 0.3651
@20230814_0652 @20230814_0652 [EP 13/250] lr: 9.733116894494742e-05, took: 61.77s (avg: 61.77s), ETA: 0d:4h:0m:57s [TRAIN] loss: 608.9688, iou: 0.2725, f1: 0.4209 [EVAL] loss: 1491.3895, iou: 0.1801, f1: 0.3029
@20230814_0653 @20230814_0653 [EP 14/250] lr: 9.713169129099697e-05, took: 62.03s (avg: 62.03s), ETA: 0d:4h:3m:52s [TRAIN] loss: 579.8586, iou: 0.2892, f1: 0.4414 [EVAL] loss: 1403.4515, iou: 0.2093, f1: 0.3434
@20230814_0654 @20230814_0654 [EP 15/250] lr: 9.69330285442993e-05, took: 62.97s (avg: 62.97s), ETA: 0d:4h:2m:50s [TRAIN] loss: 573.5405, iou: 0.3012, f1: 0.4558 [EVAL] loss: 1912.6484, iou: 0.1835, f1: 0.3062
@20230814_0655 @20230814_0655 [EP 16/250] lr: 9.673518070485443e-05, took: 61.82s (avg: 61.82s), ETA: 0d:3h:57m:54s [TRAIN] loss: 567.7254, iou: 0.3107, f1: 0.4670 [EVAL] loss: 1946.9297, iou: 0.1800, f1: 0.3021
@20230814_0656 @20230814_0656 [EP 17/250] lr: 9.653813322074711e-05, took: 61.99s (avg: 61.99s), ETA: 0d:3h:56m:53s [TRAIN] loss: 542.4230, iou: 0.3183, f1: 0.4753 [EVAL] loss: 2319.3521, iou: 0.1321, f1: 0.2300
@20230814_0657 @20230814_0657 [EP 18/250] lr: 9.634190064389259e-05, took: 61.82s (avg: 61.82s), ETA: 0d:3h:55m:52s [TRAIN] loss: 531.9846, iou: 0.3420, f1: 0.5031 [EVAL] loss: 1525.5105, iou: 0.2270, f1: 0.3668
@20230814_0658 @20230814_0658 [EP 19/250] lr: 9.614645387046039e-05, took: 61.91s (avg: 61.91s), ETA: 0d:3h:54m:51s [TRAIN] loss: 532.6129, iou: 0.3500, f1: 0.5119 [EVAL] loss: 1657.1145, iou: 0.2043, f1: 0.3349
@20230814_0659 @20230814_0659 [EP 20/250] lr: 9.595179290045053e-05, took: 61.96s (avg: 61.96s), ETA: 0d:3h:53m:50s [TRAIN] loss: 498.4004, iou: 0.3601, f1: 0.5229 [EVAL] loss: 1986.9453, iou: 0.1777, f1: 0.2977
@20230814_0700 @20230814_0700 [EP 21/250] lr: 9.575792500982061e-05, took: 61.99s (avg: 61.99s), ETA: 0d:3h:52m:49s [TRAIN] loss: 488.6274, iou: 0.3753, f1: 0.5392 [EVAL] loss: 1087.7898, iou: 0.2910, f1: 0.4476
@20230814_0702 @20230814_0702 [EP 22/250] lr: 9.556483564665541e-05, took: 61.88s (avg: 61.88s), ETA: 0d:3h:51m:48s [TRAIN] loss: 482.8440, iou: 0.3829, f1: 0.5473 [EVAL] loss: 1834.3890, iou: 0.2048, f1: 0.3361
@20230814_0703 @20230814_0703 [EP 23/250] lr: 9.537252481095493e-05, took: 61.75s (avg: 61.75s), ETA: 0d:3h:50m:47s [TRAIN] loss: 473.2738, iou: 0.3953, f1: 0.5604 [EVAL] loss: 1888.4034, iou: 0.1882, f1: 0.3128
