

** [alpha] Launch Training on 20230716_1615
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNetV2",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": true,
  "prevEPOCH": 70,
  "resumeWeight": "/home/alpha/WorkSpace/GasDetectionProj/ModelDev/ModelTraining/multi_gpu_logs/model_weights/EffNetV2/20230714_1850_DLV3+_EffNetV2/20230714_1850_DLV3+_EffNetV2_BEST_070/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "cos",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* EffNet Test\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3_EffNetV2_20230711_resume.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230716_1621 @20230716_1621 [EP 71/500] lr: 0.009524134919047356, took: 300.50s (avg: 300.50s), ETA: 1d:11h:45m:0s [TRAIN] loss: 0.1097, iou: 0.8035, f1: 0.8903 [EVAL] loss: 0.1367, iou: 0.7608, f1: 0.8633
@20230716_1624 @20230716_1624 [EP 72/500] lr: 0.009510669857263565, took: 117.72s (avg: 117.72s), ETA: 0d:13h:54m:36s [TRAIN] loss: 0.1069, iou: 0.8081, f1: 0.8931 [EVAL] loss: 0.1335, iou: 0.7658, f1: 0.8665
@20230716_1627 @20230716_1627 [EP 73/500] lr: 0.009497025981545448, took: 112.00s (avg: 112.00s), ETA: 0d:13h:17m:4s [TRAIN] loss: 0.1080, iou: 0.8062, f1: 0.8920 [EVAL] loss: 0.1330, iou: 0.7667, f1: 0.8670
@20230716_1630 @20230716_1630 [EP 74/500] lr: 0.009483205154538155, took: 101.44s (avg: 101.44s), ETA: 0d:11h:57m:6s [TRAIN] loss: 0.1058, iou: 0.8097, f1: 0.8942 [EVAL] loss: 0.1397, iou: 0.7563, f1: 0.8603
@20230716_1632 @20230716_1632 [EP 75/500] lr: 0.009469207376241684, took: 101.05s (avg: 101.05s), ETA: 0d:11h:55m:25s [TRAIN] loss: 0.1086, iou: 0.8055, f1: 0.8914 [EVAL] loss: 0.1372, iou: 0.7602, f1: 0.8628
@20230716_1634 @20230716_1634 [EP 76/500] lr: 0.009455032646656036, took: 101.26s (avg: 101.26s), ETA: 0d:11h:53m:44s [TRAIN] loss: 0.1074, iou: 0.8072, f1: 0.8926 [EVAL] loss: 0.1335, iou: 0.7658, f1: 0.8665
@20230716_1635 @20230716_1635 [EP 77/500] lr: 0.009440681897103786, took: 100.50s (avg: 100.50s), ETA: 0d:11h:45m:0s [TRAIN] loss: 0.1046, iou: 0.8117, f1: 0.8954 [EVAL] loss: 0.1314, iou: 0.7690, f1: 0.8686
@20230716_1639 @20230716_1639 [EP 78/500] lr: 0.009426156990230083, took: 118.82s (avg: 118.82s), ETA: 0d:13h:49m:56s [TRAIN] loss: 0.1051, iou: 0.8109, f1: 0.8949 [EVAL] loss: 0.1307, iou: 0.7701, f1: 0.8693
@20230716_1642 @20230716_1642 [EP 79/500] lr: 0.009411456063389778, took: 118.26s (avg: 118.26s), ETA: 0d:13h:47m:58s [TRAIN] loss: 0.1048, iou: 0.8114, f1: 0.8952 [EVAL] loss: 0.1275, iou: 0.7751, f1: 0.8725
@20230716_1645 @20230716_1645 [EP 80/500] lr: 0.009396581910550594, took: 118.41s (avg: 118.41s), ETA: 0d:13h:46m:0s [TRAIN] loss: 0.1037, iou: 0.8133, f1: 0.8963 [EVAL] loss: 0.1287, iou: 0.7732, f1: 0.8713
@20230716_1647 @20230716_1647 [EP 81/500] lr: 0.009381533600389957, took: 117.59s (avg: 117.59s), ETA: 0d:13h:37m:3s [TRAIN] loss: 0.1048, iou: 0.8114, f1: 0.8952 [EVAL] loss: 0.1426, iou: 0.7520, f1: 0.8574
@20230716_1649 @20230716_1649 [EP 82/500] lr: 0.009366312064230442, took: 118.57s (avg: 118.57s), ETA: 0d:13h:42m:4s [TRAIN] loss: 0.1040, iou: 0.8127, f1: 0.8960 [EVAL] loss: 0.2044, iou: 0.6661, f1: 0.7956
@20230716_1651 @20230716_1651 [EP 83/500] lr: 0.009350919164717197, took: 118.09s (avg: 118.09s), ETA: 0d:13h:40m:6s [TRAIN] loss: 0.1042, iou: 0.8124, f1: 0.8958 [EVAL] loss: 0.1313, iou: 0.7692, f1: 0.8687
@20230716_1653 @20230716_1653 [EP 84/500] lr: 0.009335353970527649, took: 117.87s (avg: 117.87s), ETA: 0d:13h:31m:12s [TRAIN] loss: 0.1035, iou: 0.8135, f1: 0.8965 [EVAL] loss: 0.1286, iou: 0.7736, f1: 0.8714
@20230716_1655 @20230716_1655 [EP 85/500] lr: 0.009319617412984371, took: 119.04s (avg: 119.04s), ETA: 0d:13h:43m:5s [TRAIN] loss: 0.1034, iou: 0.8137, f1: 0.8966 [EVAL] loss: 0.1345, iou: 0.7643, f1: 0.8655
@20230716_1657 @20230716_1657 [EP 86/500] lr: 0.009303710423409939, took: 116.89s (avg: 116.89s), ETA: 0d:13h:20m:24s [TRAIN] loss: 0.1017, iou: 0.8164, f1: 0.8983 [EVAL] loss: 0.1274, iou: 0.7751, f1: 0.8726
@20230716_1700 @20230716_1700 [EP 87/500] lr: 0.009287633001804352, took: 118.50s (avg: 118.50s), ETA: 0d:13h:32m:14s [TRAIN] loss: 0.1022, iou: 0.8157, f1: 0.8978 [EVAL] loss: 0.1309, iou: 0.7697, f1: 0.8691
@20230716_1702 @20230716_1702 [EP 88/500] lr: 0.00927138701081276, took: 117.31s (avg: 117.31s), ETA: 0d:13h:23m:24s [TRAIN] loss: 0.1016, iou: 0.8166, f1: 0.8984 [EVAL] loss: 0.1305, iou: 0.7704, f1: 0.8695
@20230716_1704 @20230716_1704 [EP 89/500] lr: 0.009254972450435162, took: 118.96s (avg: 118.96s), ETA: 0d:13h:28m:18s [TRAIN] loss: 0.1022, iou: 0.8156, f1: 0.8978 [EVAL] loss: 0.1242, iou: 0.7803, f1: 0.8758
@20230716_1708 @20230716_1708 [EP 90/500] lr: 0.009238389320671558, took: 118.79s (avg: 118.79s), ETA: 0d:13h:26m:20s [TRAIN] loss: 0.1017, iou: 0.8165, f1: 0.8983 [EVAL] loss: 0.1259, iou: 0.7776, f1: 0.8741
@20230716_1710 @20230716_1710 [EP 91/500] lr: 0.009221639484167099, took: 118.03s (avg: 118.03s), ETA: 0d:13h:24m:22s [TRAIN] loss: 0.1017, iou: 0.8165, f1: 0.8983 [EVAL] loss: 0.1299, iou: 0.7712, f1: 0.8701
@20230716_1712 @20230716_1712 [EP 92/500] lr: 0.009204722940921783, took: 119.01s (avg: 119.01s), ETA: 0d:13h:29m:12s [TRAIN] loss: 0.1022, iou: 0.8157, f1: 0.8978 [EVAL] loss: 0.1245, iou: 0.7797, f1: 0.8755
@20230716_1714 @20230716_1714 [EP 93/500] lr: 0.009187640622258186, took: 121.04s (avg: 121.04s), ETA: 0d:13h:40m:47s [TRAIN] loss: 0.1009, iou: 0.8178, f1: 0.8991 [EVAL] loss: 0.1293, iou: 0.7723, f1: 0.8707
