

** [alpha] Launch Training on 20230624_1550
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 99,
  "resumeWeight": "./model_weights/EffNet/20230613_1524_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "cos",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n* New Exp on Cos Lr\n  - Due to frequent network error, there was unexpected termination over the last two exp. \n  - This makes hard to observe the behavior of cos annealing lr scheduling.\n  - So, this time, we decided to start it over gain, \n  -  Also, we change the n_cycles from num_epochs/100 to 2.5 (hard coded value).\n  - n_cycles changed from 2.5 to 2\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_EffNet.yaml"
}
@20230624_1557 [EP 1/500] lr: 0.009999999776482582, took: 0h:7m:48s, ETA: 2d:16h:52m:12s [TRAIN] loss: 0.2977, accu-50: 31.11%, iou: 55.76%, f1: 70.23% 260.40ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 59.59ms
@20230624_1605 [EP 2/500] lr: 0.009998421184718609, took: 0h:7m:27s, ETA: 2d:13h:50m:6s [TRAIN] loss: 0.2313, accu-50: 79.38%, iou: 63.31%, f1: 76.87% 235.99ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.66ms
@20230624_1612 [EP 3/500] lr: 0.009996447712182999, took: 0h:7m:20s, ETA: 2d:12h:44m:40s [TRAIN] loss: 0.1966, accu-50: 81.16%, iou: 67.63%, f1: 80.34% 236.47ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.79ms
@20230624_1619 [EP 4/500] lr: 0.009993684478104115, took: 0h:7m:17s, ETA: 2d:12h:12m:32s [TRAIN] loss: 0.1730, accu-50: 83.26%, iou: 70.91%, f1: 82.70% 236.35ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.59ms
@20230624_1626 [EP 5/500] lr: 0.009990133345127106, took: 0h:7m:15s, ETA: 2d:11h:48m:45s [TRAIN] loss: 0.1577, accu-50: 84.64%, iou: 73.01%, f1: 84.23% 236.83ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.07ms
@20230624_1633 [EP 6/500] lr: 0.009985794313251972, took: 0h:7m:13s, ETA: 2d:11h:25m:2s [TRAIN] loss: 0.1475, accu-50: 85.75%, iou: 74.51%, f1: 85.25% 236.07ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.70ms
@20230624_1640 [EP 7/500] lr: 0.009980668313801289, took: 0h:7m:12s, ETA: 2d:11h:9m:36s [TRAIN] loss: 0.1400, accu-50: 86.11%, iou: 75.62%, f1: 86.00% 236.05ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.76ms
@20230624_1647 [EP 8/500] lr: 0.009974755346775055, took: 0h:7m:11s, ETA: 2d:10h:54m:12s [TRAIN] loss: 0.1345, accu-50: 86.72%, iou: 76.48%, f1: 86.55% 235.52ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.72ms
@20230624_1654 [EP 9/500] lr: 0.009968056343495846, took: 0h:7m:11s, ETA: 2d:10h:47m:1s [TRAIN] loss: 0.1312, accu-50: 87.07%, iou: 76.98%, f1: 86.88% 235.46ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.78ms
@20230624_1701 [EP 10/500] lr: 0.00996057316660881, took: 0h:7m:10s, ETA: 2d:10h:31m:40s [TRAIN] loss: 0.1270, accu-50: 87.40%, iou: 77.61%, f1: 87.30% 235.45ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.69ms
@20230624_1709 [EP 11/500] lr: 0.009952306747436523, took: 0h:7m:10s, ETA: 2d:10h:24m:30s [TRAIN] loss: 0.1265, accu-50: 87.55%, iou: 77.70%, f1: 87.35% 235.76ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.67ms
@20230624_1716 [EP 12/500] lr: 0.009943258948624134, took: 0h:7m:12s, ETA: 2d:10h:33m:36s [TRAIN] loss: 0.1207, accu-50: 87.82%, iou: 78.61%, f1: 87.93% 235.69ms [EVAL] [414/414 step] loss: 0.9596, accu-50: 97.71%, iou: 2.26%, f1: 4.04%, 56.59ms
@20230624_1723 [EP 13/500] lr: 0.009933429770171642, took: 0h:7m:12s, ETA: 2d:10h:26m:24s [TRAIN] loss: 0.1170, accu-50: 88.56%, iou: 79.18%, f1: 88.30% 235.29ms [EVAL] [414/414 step] loss: 0.9992, accu-50: 96.62%, iou: 0.04%, f1: 0.08%, 56.58ms
@20230624_1731 [EP 14/500] lr: 0.009922822006046772, took: 0h:7m:11s, ETA: 2d:10h:11m:6s [TRAIN] loss: 0.1161, accu-50: 88.88%, iou: 79.33%, f1: 88.39% 235.51ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.62ms
@20230624_1738 [EP 15/500] lr: 0.009911436587572098, took: 0h:7m:11s, ETA: 2d:10h:3m:55s [TRAIN] loss: 0.1141, accu-50: 88.76%, iou: 79.64%, f1: 88.59% 237.41ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.78ms
@20230624_1745 [EP 16/500] lr: 0.009899275377392769, took: 0h:7m:13s, ETA: 2d:10h:12m:52s [TRAIN] loss: 0.1120, accu-50: 88.80%, iou: 79.97%, f1: 88.80% 235.63ms [EVAL] [414/414 step] loss: 0.9533, accu-50: 87.14%, iou: 2.48%, f1: 4.67%, 56.69ms
@20230624_1753 [EP 17/500] lr: 0.009886340238153934, took: 0h:7m:13s, ETA: 2d:10h:5m:39s [TRAIN] loss: 0.1105, accu-50: 89.25%, iou: 80.22%, f1: 88.95% 236.65ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.06%, iou: 0.00%, f1: 0.00%, 56.91ms
@20230624_1800 [EP 18/500] lr: 0.009872633963823318, took: 0h:7m:12s, ETA: 2d:9h:50m:24s [TRAIN] loss: 0.1088, accu-50: 89.35%, iou: 80.50%, f1: 89.12% 236.90ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 56.75ms
@20230624_1807 [EP 19/500] lr: 0.00985815841704607, took: 0h:7m:12s, ETA: 2d:9h:43m:12s [TRAIN] loss: 0.1071, accu-50: 89.27%, iou: 80.76%, f1: 89.29% 237.02ms [EVAL] [414/414 step] loss: 0.9953, accu-50: 93.05%, iou: 0.25%, f1: 0.47%, 56.85ms
@20230624_1814 [EP 20/500] lr: 0.009842915460467339, took: 0h:7m:12s, ETA: 2d:9h:36m:0s [TRAIN] loss: 0.1079, accu-50: 89.33%, iou: 80.64%, f1: 89.21% 236.06ms [EVAL] [414/414 step] loss: 0.9781, accu-50: 64.01%, iou: 1.13%, f1: 2.19%, 56.89ms
@20230624_1821 [EP 21/500] lr: 0.009826907888054848, took: 0h:7m:11s, ETA: 2d:9h:20m:49s [TRAIN] loss: 0.1035, accu-50: 89.56%, iou: 81.35%, f1: 89.65% 236.05ms [EVAL] [414/414 step] loss: 0.9978, accu-50: 0.47%, iou: 0.11%, f1: 0.22%, 56.81ms
@20230624_1829 [EP 22/500] lr: 0.009810138493776321, took: 0h:7m:13s, ETA: 2d:9h:29m:34s [TRAIN] loss: 0.1047, accu-50: 89.69%, iou: 81.14%, f1: 89.53% 236.13ms [EVAL] [414/414 step] loss: 0.8966, accu-50: 35.05%, iou: 5.84%, f1: 10.34%, 56.83ms
@20230624_1836 [EP 23/500] lr: 0.009792609140276909, took: 0h:7m:13s, ETA: 2d:9h:22m:21s [TRAIN] loss: 0.1021, accu-50: 89.91%, iou: 81.56%, f1: 89.79% 236.02ms [EVAL] [414/414 step] loss: 0.9752, accu-50: 82.57%, iou: 1.27%, f1: 2.48%, 56.78ms
@20230624_1844 [EP 24/500] lr: 0.009774322621524334, took: 0h:7m:14s, ETA: 2d:9h:23m:4s [TRAIN] loss: 0.1008, accu-50: 90.14%, iou: 81.79%, f1: 89.92% 236.21ms [EVAL] [414/414 step] loss: 0.8714, accu-50: 78.45%, iou: 7.10%, f1: 12.86%, 56.66ms
@20230624_1851 [EP 25/500] lr: 0.009755282662808895, took: 0h:7m:15s, ETA: 2d:9h:23m:45s [TRAIN] loss: 0.1005, accu-50: 90.09%, iou: 81.83%, f1: 89.95% 235.71ms [EVAL] [414/414 step] loss: 0.8348, accu-50: 43.48%, iou: 9.28%, f1: 16.52%, 56.81ms
@20230624_1859 [EP 26/500] lr: 0.009735491126775742, took: 0h:7m:15s, ETA: 2d:9h:16m:30s [TRAIN] loss: 0.1001, accu-50: 90.10%, iou: 81.90%, f1: 89.99% 236.20ms [EVAL] [414/414 step] loss: 0.8603, accu-50: 86.11%, iou: 8.15%, f1: 13.97%, 56.72ms
@20230624_1906 [EP 27/500] lr: 0.009714952670037746, took: 0h:7m:14s, ETA: 2d:9h:1m:22s [TRAIN] loss: 0.0989, accu-50: 90.11%, iou: 82.09%, f1: 90.11% 236.20ms [EVAL] [414/414 step] loss: 0.9107, accu-50: 82.69%, iou: 4.99%, f1: 8.93%, 56.79ms
@20230624_1913 [EP 28/500] lr: 0.009693669155240059, took: 0h:7m:14s, ETA: 2d:8h:54m:8s [TRAIN] loss: 0.0977, accu-50: 90.21%, iou: 82.29%, f1: 90.23% 236.52ms [EVAL] [414/414 step] loss: 0.9999, accu-50: 52.70%, iou: 0.00%, f1: 0.01%, 56.70ms
@20230624_1920 [EP 29/500] lr: 0.009671644307672977, took: 0h:7m:14s, ETA: 2d:8h:46m:54s [TRAIN] loss: 0.0982, accu-50: 90.43%, iou: 82.22%, f1: 90.18% 236.39ms [EVAL] [414/414 step] loss: 0.8937, accu-50: 66.21%, iou: 5.81%, f1: 10.63%, 56.89ms
@20230624_1928 [EP 30/500] lr: 0.009648882783949375, took: 0h:7m:15s, ETA: 2d:8h:47m:30s [TRAIN] loss: 0.0962, accu-50: 90.43%, iou: 82.55%, f1: 90.38% 236.32ms [EVAL] [414/414 step] loss: 0.4558, accu-50: 73.13%, iou: 38.35%, f1: 54.42%, 56.91ms
@20230624_1935 [EP 31/500] lr: 0.009625386446714401, took: 0h:7m:14s, ETA: 2d:8h:32m:26s [TRAIN] loss: 0.0956, accu-50: 90.49%, iou: 82.63%, f1: 90.44% 235.71ms [EVAL] [414/414 step] loss: 0.8010, accu-50: 54.85%, iou: 11.58%, f1: 19.90%, 56.70ms
@20230624_1942 [EP 32/500] lr: 0.009601159021258354, took: 0h:7m:15s, ETA: 2d:8h:33m:0s [TRAIN] loss: 0.0951, accu-50: 90.40%, iou: 82.72%, f1: 90.49% 235.68ms [EVAL] [414/414 step] loss: 0.3311, accu-50: 84.29%, iou: 51.11%, f1: 66.89%, 56.67ms
@20230624_1950 [EP 33/500] lr: 0.009576206095516682, took: 0h:7m:15s, ETA: 2d:8h:25m:45s [TRAIN] loss: 0.0949, accu-50: 90.64%, iou: 82.76%, f1: 90.51% 235.73ms [EVAL] [414/414 step] loss: 0.4775, accu-50: 75.02%, iou: 36.19%, f1: 52.25%, 56.64ms
@20230624_1957 [EP 34/500] lr: 0.009550529532134533, took: 0h:7m:15s, ETA: 2d:8h:18m:30s [TRAIN] loss: 0.0947, accu-50: 90.55%, iou: 82.79%, f1: 90.53% 235.64ms [EVAL] [414/414 step] loss: 0.8017, accu-50: 88.55%, iou: 11.49%, f1: 19.83%, 56.83ms
@20230624_2004 [EP 35/500] lr: 0.009524134919047356, took: 0h:7m:14s, ETA: 2d:8h:3m:30s [TRAIN] loss: 0.0938, accu-50: 90.78%, iou: 82.94%, f1: 90.62% 235.60ms [EVAL] [414/414 step] loss: 0.3682, accu-50: 78.33%, iou: 47.12%, f1: 63.18%, 56.73ms
