

** [alpha] Launch Training on 20230724_2130
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB0",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "exp",
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B0 Pretrained Wegiths\n",
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_MITB0_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230724_2132 @20230724_2132 [EP 1/500] lr: 0.0010000000474974513, took: 111.48s (avg: 111.48s), ETA: 0d:15h:23m:9s [TRAIN] loss: 0.9905, iou: 0.0048, f1: 0.0095 [EVAL] loss: 0.9904, iou: 0.0050, f1: 0.0096
@20230724_2133 @20230724_2133 [EP 2/500] lr: 0.0009908548090606928, took: 43.65s (avg: 43.65s), ETA: 0d:5h:56m:54s [TRAIN] loss: 0.9897, iou: 0.0053, f1: 0.0103 [EVAL] loss: 0.9922, iou: 0.0039, f1: 0.0078
@20230724_2134 @20230724_2134 [EP 3/500] lr: 0.000981793156825006, took: 42.90s (avg: 42.90s), ETA: 0d:5h:47m:54s [TRAIN] loss: 0.9899, iou: 0.0051, f1: 0.0101 [EVAL] loss: 0.9899, iou: 0.0051, f1: 0.0101
@20230724_2134 @20230724_2134 [EP 4/500] lr: 0.00097281439229846, took: 43.18s (avg: 43.18s), ETA: 0d:5h:55m:28s [TRAIN] loss: 0.9891, iou: 0.0056, f1: 0.0109 [EVAL] loss: 0.9989, iou: 0.0005, f1: 0.0011
@20230724_2135 @20230724_2135 [EP 5/500] lr: 0.0009639178169891238, took: 43.50s (avg: 43.50s), ETA: 0d:5h:54m:45s [TRAIN] loss: 0.9870, iou: 0.0067, f1: 0.0130 [EVAL] loss: 0.9999, iou: 0.0000, f1: 0.0001
@20230724_2136 @20230724_2136 [EP 6/500] lr: 0.0009551025577820837, took: 42.59s (avg: 42.59s), ETA: 0d:5h:45m:48s [TRAIN] loss: 0.9816, iou: 0.0097, f1: 0.0184 [EVAL] loss: 0.9999, iou: 0.0000, f1: 0.0001
@20230724_2136 @20230724_2136 [EP 7/500] lr: 0.0009463679161854088, took: 43.95s (avg: 43.95s), ETA: 0d:5h:53m:19s [TRAIN] loss: 0.9771, iou: 0.0121, f1: 0.0229 [EVAL] loss: 0.9925, iou: 0.0040, f1: 0.0075
@20230724_2137 @20230724_2137 [EP 8/500] lr: 0.0009377131354995072, took: 43.08s (avg: 43.08s), ETA: 0d:5h:52m:36s [TRAIN] loss: 0.9779, iou: 0.0117, f1: 0.0221 [EVAL] loss: 0.9845, iou: 0.0079, f1: 0.0155
@20230724_2138 @20230724_2138 [EP 9/500] lr: 0.0009291375172324479, took: 43.61s (avg: 43.61s), ETA: 0d:5h:51m:53s [TRAIN] loss: 0.9775, iou: 0.0119, f1: 0.0225 [EVAL] loss: 0.9839, iou: 0.0083, f1: 0.0161
@20230724_2139 @20230724_2139 [EP 10/500] lr: 0.0009206403628922999, took: 41.01s (avg: 41.01s), ETA: 0d:5h:34m:50s [TRAIN] loss: 0.9842, iou: 0.0083, f1: 0.0158 [EVAL] loss: 0.9999, iou: 0.0000, f1: 0.0001
@20230724_2139 @20230724_2139 [EP 11/500] lr: 0.0009122208575718105, took: 36.88s (avg: 36.88s), ETA: 0d:4h:53m:24s [TRAIN] loss: 0.9828, iou: 0.0092, f1: 0.0172 [EVAL] loss: 1.0000, iou: 0.0000, f1: 0.0000
@20230724_2140 @20230724_2140 [EP 12/500] lr: 0.0009038783609867096, took: 37.17s (avg: 37.17s), ETA: 0d:5h:0m:56s [TRAIN] loss: 0.9797, iou: 0.0107, f1: 0.0203 [EVAL] loss: 1.0000, iou: 0.0000, f1: 0.0000
@20230724_2141 @20230724_2141 [EP 13/500] lr: 0.0008956121746450663, took: 37.22s (avg: 37.22s), ETA: 0d:5h:0m:19s [TRAIN] loss: 0.9782, iou: 0.0116, f1: 0.0218 [EVAL] loss: 0.9960, iou: 0.0021, f1: 0.0040
@20230724_2141 @20230724_2141 [EP 14/500] lr: 0.0008874216000549495, took: 37.05s (avg: 37.05s), ETA: 0d:4h:59m:42s [TRAIN] loss: 0.9775, iou: 0.0120, f1: 0.0225 [EVAL] loss: 0.9985, iou: 0.0008, f1: 0.0015
@20230724_2142 @20230724_2142 [EP 15/500] lr: 0.0008793059387244284, took: 37.10s (avg: 37.10s), ETA: 0d:4h:59m:5s [TRAIN] loss: 0.9794, iou: 0.0108, f1: 0.0206 [EVAL] loss: 0.9888, iou: 0.0059, f1: 0.0112
@20230724_2142 @20230724_2142 [EP 16/500] lr: 0.0008712644339539111, took: 37.95s (avg: 37.95s), ETA: 0d:4h:58m:28s [TRAIN] loss: 0.9774, iou: 0.0120, f1: 0.0226 [EVAL] loss: 0.9917, iou: 0.0045, f1: 0.0083
@20230724_2143 @20230724_2143 [EP 17/500] lr: 0.0008632965618744493, took: 37.26s (avg: 37.26s), ETA: 0d:4h:57m:51s [TRAIN] loss: 0.9783, iou: 0.0114, f1: 0.0217 [EVAL] loss: 0.9827, iou: 0.0089, f1: 0.0173
