

** [alpha] Launch Training on 20230727_1749
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB2",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "wcos",
  "lr": 0.001,
  "optimizer": "AdamW",
  "decay_steps": 1.0,
  "warmup": 50,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B2 Pretrained Wegiths\n* Optimize perf: AdamW is used. w/ lr=0.001\n",
  "numGPUs": 4,
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230727_1753 @20230727_1753 [EP 1/500] lr: 1.9999999494757503e-05, took: 259.13s (avg: 259.13s), ETA: 1d:11h:54m:1s [TRAIN] loss: 0.9207, iou: 0.0427, f1: 0.0793 [EVAL] loss: 0.8464, iou: 0.0839, f1: 0.1536
@20230727_1755 @20230727_1755 [EP 2/500] lr: 3.9999998989515007e-05, took: 116.97s (avg: 116.97s), ETA: 0d:16h:2m:48s [TRAIN] loss: 0.7942, iou: 0.1181, f1: 0.2058 [EVAL] loss: 0.7640, iou: 0.1357, f1: 0.2360
@20230727_1757 @20230727_1757 [EP 3/500] lr: 5.999999848427251e-05, took: 117.48s (avg: 117.48s), ETA: 0d:16h:9m:9s [TRAIN] loss: 0.6630, iou: 0.2075, f1: 0.3370 [EVAL] loss: 0.5804, iou: 0.2698, f1: 0.4196
@20230727_1759 @20230727_1759 [EP 4/500] lr: 7.999999797903001e-05, took: 117.10s (avg: 117.10s), ETA: 0d:16h:7m:12s [TRAIN] loss: 0.5515, iou: 0.2948, f1: 0.4485 [EVAL] loss: 0.4783, iou: 0.3573, f1: 0.5217
@20230727_1801 @20230727_1801 [EP 5/500] lr: 9.999999747378752e-05, took: 131.45s (avg: 131.45s), ETA: 0d:18h:0m:45s [TRAIN] loss: 0.4658, iou: 0.3702, f1: 0.5342 [EVAL] loss: 0.4208, iou: 0.4122, f1: 0.5792
@20230727_1804 @20230727_1804 [EP 6/500] lr: 0.00011999999696854502, took: 134.81s (avg: 134.81s), ETA: 0d:18h:23m:16s [TRAIN] loss: 0.4084, iou: 0.4264, f1: 0.5916 [EVAL] loss: 0.3720, iou: 0.4620, f1: 0.6280
@20230727_1806 @20230727_1806 [EP 7/500] lr: 0.00014000000373926014, took: 135.97s (avg: 135.97s), ETA: 0d:18h:29m:15s [TRAIN] loss: 0.3587, iou: 0.4780, f1: 0.6413 [EVAL] loss: 0.3297, iou: 0.5079, f1: 0.6703
@20230727_1808 @20230727_1808 [EP 8/500] lr: 0.00015999999595806003, took: 135.09s (avg: 135.09s), ETA: 0d:18h:27m:0s [TRAIN] loss: 0.3288, iou: 0.5113, f1: 0.6712 [EVAL] loss: 0.3137, iou: 0.5263, f1: 0.6863
@20230727_1811 @20230727_1811 [EP 9/500] lr: 0.00018000000272877514, took: 135.59s (avg: 135.59s), ETA: 0d:18h:24m:45s [TRAIN] loss: 0.3030, iou: 0.5407, f1: 0.6970 [EVAL] loss: 0.2932, iou: 0.5504, f1: 0.7068
@20230727_1813 @20230727_1813 [EP 10/500] lr: 0.00019999999494757503, took: 136.60s (avg: 136.60s), ETA: 0d:18h:30m:40s [TRAIN] loss: 0.2799, iou: 0.5682, f1: 0.7201 [EVAL] loss: 0.2642, iou: 0.5869, f1: 0.7358
@20230727_1815 @20230727_1815 [EP 11/500] lr: 0.00022000000171829015, took: 128.46s (avg: 128.46s), ETA: 0d:17h:23m:12s [TRAIN] loss: 0.2694, iou: 0.5812, f1: 0.7306 [EVAL] loss: 0.2526, iou: 0.6006, f1: 0.7474
