

** [alpha] Launch Training on 20230701_1957
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": [
    0
  ],
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230630.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230630.txt",
  "exp_comment": "* New Merged DB used\n* temperature_shift value changed from 5 15\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB.yaml"
}
@20230701_2001 [EP 1/500] lr: 0.009999999776482582, took: 0h:3m:46s, ETA: 1d:7h:19m:34s [TRAIN] loss: 0.3765, accu-50: 11.95%, iou: 48.26%, f1: 62.35% 239.53ms [EVAL] [247/247 step] loss: 0.5895, accu-50: 42.30%, iou: 26.66%, f1: 41.05%, 69.20ms
@20230701_2004 [EP 2/500] lr: 0.009817931801080704, took: 0h:3m:28s, ETA: 1d:4h:46m:24s [TRAIN] loss: 0.2299, accu-50: 79.24%, iou: 63.79%, f1: 77.01% 210.42ms [EVAL] [247/247 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 63.72ms
@20230701_2007 [EP 3/500] lr: 0.0097281439229846, took: 0h:3m:25s, ETA: 1d:4h:18m:5s [TRAIN] loss: 0.1869, accu-50: 81.72%, iou: 69.07%, f1: 81.31% 210.46ms [EVAL] [247/247 step] loss: 0.1776, accu-50: 80.71%, iou: 70.32%, f1: 82.24%, 63.77ms
@20230701_2010 [EP 4/500] lr: 0.009639178402721882, took: 0h:3m:21s, ETA: 1d:3h:41m:36s [TRAIN] loss: 0.1531, accu-50: 84.27%, iou: 73.65%, f1: 84.69% 210.49ms [EVAL] [247/247 step] loss: 0.3446, accu-50: 74.82%, iou: 49.48%, f1: 65.54%, 63.76ms
@20230701_2014 [EP 5/500] lr: 0.009551024995744228, took: 0h:3m:19s, ETA: 1d:3h:21m:45s [TRAIN] loss: 0.1398, accu-50: 86.31%, iou: 75.64%, f1: 86.02% 210.44ms [EVAL] [247/247 step] loss: 0.2213, accu-50: 89.56%, iou: 64.24%, f1: 77.87%, 63.59ms
@20230701_2017 [EP 6/500] lr: 0.009463679045438766, took: 0h:3m:17s, ETA: 1d:3h:1m:58s [TRAIN] loss: 0.1304, accu-50: 86.94%, iou: 77.08%, f1: 86.96% 210.40ms [EVAL] [247/247 step] loss: 0.2045, accu-50: 86.06%, iou: 66.32%, f1: 79.55%, 63.68ms
@20230701_2020 [EP 7/500] lr: 0.00937713123857975, took: 0h:3m:16s, ETA: 1d:2h:50m:28s [TRAIN] loss: 0.1228, accu-50: 87.83%, iou: 78.26%, f1: 87.72% 210.42ms [EVAL] [247/247 step] loss: 0.1845, accu-50: 90.28%, iou: 69.09%, f1: 81.55%, 63.90ms
@20230701_2023 [EP 8/500] lr: 0.009291375055909157, took: 0h:3m:15s, ETA: 1d:2h:39m:0s [TRAIN] loss: 0.1138, accu-50: 88.23%, iou: 79.69%, f1: 88.62% 210.38ms [EVAL] [247/247 step] loss: 0.7919, accu-50: 78.08%, iou: 12.52%, f1: 20.81%, 63.73ms
@20230701_2026 [EP 9/500] lr: 0.00920640304684639, took: 0h:3m:16s, ETA: 1d:2h:43m:56s [TRAIN] loss: 0.1096, accu-50: 88.69%, iou: 80.36%, f1: 89.04% 210.41ms [EVAL] [247/247 step] loss: 0.1473, accu-50: 83.66%, iou: 74.50%, f1: 85.27%, 63.92ms
@20230701_2030 [EP 10/500] lr: 0.009122208692133427, took: 0h:3m:15s, ETA: 1d:2h:32m:30s [TRAIN] loss: 0.1043, accu-50: 89.51%, iou: 81.22%, f1: 89.57% 210.49ms [EVAL] [247/247 step] loss: 0.1833, accu-50: 88.78%, iou: 69.23%, f1: 81.67%, 63.77ms
@20230701_2033 [EP 11/500] lr: 0.009038783609867096, took: 0h:3m:15s, ETA: 1d:2h:29m:15s [TRAIN] loss: 0.0992, accu-50: 90.00%, iou: 82.04%, f1: 90.08% 210.48ms [EVAL] [247/247 step] loss: 0.1533, accu-50: 83.75%, iou: 73.59%, f1: 84.67%, 63.77ms
@20230701_2036 [EP 12/500] lr: 0.00895612221211195, took: 0h:3m:14s, ETA: 1d:2h:17m:52s [TRAIN] loss: 0.0970, accu-50: 90.11%, iou: 82.40%, f1: 90.30% 210.43ms [EVAL] [247/247 step] loss: 0.1877, accu-50: 82.76%, iou: 68.67%, f1: 81.23%, 63.92ms
@20230701_2039 [EP 13/500] lr: 0.008874216116964817, took: 0h:3m:14s, ETA: 1d:2h:14m:38s [TRAIN] loss: 0.0929, accu-50: 90.78%, iou: 83.08%, f1: 90.71% 210.49ms [EVAL] [247/247 step] loss: 0.3987, accu-50: 48.16%, iou: 43.54%, f1: 60.13%, 63.96ms
@20230701_2042 [EP 14/500] lr: 0.008793058805167675, took: 0h:3m:14s, ETA: 1d:2h:11m:24s [TRAIN] loss: 0.0901, accu-50: 90.36%, iou: 83.54%, f1: 90.99% 210.46ms [EVAL] [247/247 step] loss: 0.6965, accu-50: 25.74%, iou: 18.31%, f1: 30.35%, 63.99ms
@20230701_2046 [EP 15/500] lr: 0.008712644688785076, took: 0h:3m:13s, ETA: 1d:2h:0m:5s [TRAIN] loss: 0.0861, accu-50: 91.35%, iou: 84.23%, f1: 91.39% 210.45ms [EVAL] [247/247 step] loss: 0.2054, accu-50: 85.70%, iou: 66.37%, f1: 79.46%, 63.92ms
@20230701_2049 [EP 16/500] lr: 0.008632965385913849, took: 0h:3m:14s, ETA: 1d:2h:4m:56s [TRAIN] loss: 0.0848, accu-50: 91.38%, iou: 84.44%, f1: 91.52% 210.44ms [EVAL] [247/247 step] loss: 0.1291, accu-50: 91.83%, iou: 77.33%, f1: 87.09%, 64.00ms
@20230701_2052 [EP 17/500] lr: 0.008554015308618546, took: 0h:3m:14s, ETA: 1d:2h:1m:42s [TRAIN] loss: 0.0829, accu-50: 91.85%, iou: 84.75%, f1: 91.71% 210.56ms [EVAL] [247/247 step] loss: 0.6253, accu-50: 46.06%, iou: 23.71%, f1: 37.47%, 63.63ms
@20230701_2055 [EP 18/500] lr: 0.008475786074995995, took: 0h:3m:13s, ETA: 1d:1h:50m:26s [TRAIN] loss: 0.0805, accu-50: 91.87%, iou: 85.17%, f1: 91.95% 210.77ms [EVAL] [247/247 step] loss: 0.1971, accu-50: 90.51%, iou: 67.33%, f1: 80.29%, 63.73ms
@20230701_2058 [EP 19/500] lr: 0.008398273028433323, took: 0h:3m:13s, ETA: 1d:1h:47m:13s [TRAIN] loss: 0.0782, accu-50: 92.18%, iou: 85.54%, f1: 92.18% 210.58ms [EVAL] [247/247 step] loss: 0.1431, accu-50: 82.96%, iou: 75.08%, f1: 85.69%, 63.64ms
@20230701_2102 [EP 20/500] lr: 0.008321468718349934, took: 0h:3m:13s, ETA: 1d:1h:44m:0s [TRAIN] loss: 0.0765, accu-50: 92.36%, iou: 85.84%, f1: 92.35% 210.55ms [EVAL] [247/247 step] loss: 0.7731, accu-50: 92.53%, iou: 13.97%, f1: 22.69%, 63.68ms
@20230701_2105 [EP 21/500] lr: 0.008245367556810379, took: 0h:3m:13s, ETA: 1d:1h:40m:47s [TRAIN] loss: 0.0756, accu-50: 92.33%, iou: 85.99%, f1: 92.44% 210.69ms [EVAL] [247/247 step] loss: 0.1006, accu-50: 88.15%, iou: 81.82%, f1: 89.94%, 63.76ms
