

** [alpha] Launch Training on 20230701_2049
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": [
    1
  ],
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    "./model_weights/ResNet50/20230630_1724_DLV3PP_ResNet50_FINAL_EPOCH_500_AUG",
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.3,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230701.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230701.txt",
  "exp_comment": "* New Consolidate DB (0701 version) used \n* Train is performed over the final model with 0630 version.\n* temperature_shift value changed from 5 15\n* Augmenation occurence p = .3 (.2 previously)\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB_20230701.yaml"
}
@20230701_2053 [EP 1/500] lr: 0.009999999776482582, took: 0h:3m:53s, ETA: 1d:8h:17m:47s [TRAIN] loss: 0.0578, accu-50: 94.91%, iou: 89.11%, f1: 94.22% 239.77ms [EVAL] [259/259 step] loss: 0.1176, accu-50: 95.40%, iou: 79.13%, f1: 88.24%, 69.03ms
@20230701_2056 [EP 2/500] lr: 0.009817931801080704, took: 0h:3m:40s, ETA: 1d:6h:26m:0s [TRAIN] loss: 0.0588, accu-50: 94.25%, iou: 88.94%, f1: 94.12% 210.74ms [EVAL] [259/259 step] loss: 0.0732, accu-50: 91.16%, iou: 86.45%, f1: 92.68%, 63.65ms
@20230701_2100 [EP 3/500] lr: 0.0097281439229846, took: 0h:3m:32s, ETA: 1d:5h:16m:4s [TRAIN] loss: 0.0589, accu-50: 94.30%, iou: 88.92%, f1: 94.11% 210.77ms [EVAL] [259/259 step] loss: 0.2272, accu-50: 97.03%, iou: 63.26%, f1: 77.28%, 63.68ms
@20230701_2103 [EP 4/500] lr: 0.009639178402721882, took: 0h:3m:28s, ETA: 1d:4h:39m:28s [TRAIN] loss: 0.0576, accu-50: 94.62%, iou: 89.15%, f1: 94.24% 210.76ms [EVAL] [259/259 step] loss: 0.0914, accu-50: 90.79%, iou: 83.35%, f1: 90.86%, 63.87ms
@20230701_2106 [EP 5/500] lr: 0.009551024995744228, took: 0h:3m:25s, ETA: 1d:4h:11m:15s [TRAIN] loss: 0.0580, accu-50: 94.40%, iou: 89.07%, f1: 94.20% 210.77ms [EVAL] [259/259 step] loss: 0.3890, accu-50: 91.07%, iou: 44.37%, f1: 61.10%, 64.04ms
@20230701_2110 [EP 6/500] lr: 0.009463679045438766, took: 0h:3m:24s, ETA: 1d:3h:59m:36s [TRAIN] loss: 0.0568, accu-50: 94.56%, iou: 89.28%, f1: 94.32% 210.89ms [EVAL] [259/259 step] loss: 0.1179, accu-50: 87.36%, iou: 79.05%, f1: 88.21%, 63.89ms
@20230701_2113 [EP 7/500] lr: 0.00937713123857975, took: 0h:3m:23s, ETA: 1d:3h:47m:59s [TRAIN] loss: 0.0563, accu-50: 94.75%, iou: 89.37%, f1: 94.37% 210.81ms [EVAL] [259/259 step] loss: 0.0946, accu-50: 90.56%, iou: 82.81%, f1: 90.54%, 63.96ms
@20230701_2116 [EP 8/500] lr: 0.009291375055909157, took: 0h:3m:22s, ETA: 1d:3h:36m:24s [TRAIN] loss: 0.0556, accu-50: 94.77%, iou: 89.50%, f1: 94.44% 210.85ms [EVAL] [259/259 step] loss: 0.1560, accu-50: 93.33%, iou: 73.15%, f1: 84.40%, 63.92ms
@20230701_2119 [EP 9/500] lr: 0.00920640304684639, took: 0h:3m:21s, ETA: 1d:3h:24m:51s [TRAIN] loss: 0.0555, accu-50: 94.83%, iou: 89.53%, f1: 94.45% 210.84ms [EVAL] [259/259 step] loss: 0.1481, accu-50: 95.06%, iou: 74.34%, f1: 85.19%, 63.71ms
@20230701_2123 [EP 10/500] lr: 0.009122208692133427, took: 0h:3m:21s, ETA: 1d:3h:21m:30s [TRAIN] loss: 0.0542, accu-50: 94.70%, iou: 89.75%, f1: 94.58% 210.87ms [EVAL] [259/259 step] loss: 0.0811, accu-50: 95.81%, iou: 85.04%, f1: 91.89%, 63.93ms
@20230701_2126 [EP 11/500] lr: 0.009038783609867096, took: 0h:3m:20s, ETA: 1d:3h:10m:0s [TRAIN] loss: 0.0547, accu-50: 94.93%, iou: 89.66%, f1: 94.53% 210.92ms [EVAL] [259/259 step] loss: 0.1848, accu-50: 96.12%, iou: 69.08%, f1: 81.52%, 63.89ms
