

** [alpha] Launch Training on 20230703_2129
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": [
    1
  ],
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230703_2119.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230703_2119.txt",
  "exp_comment": "* New consolidate DB used (0703_2119 version) - Athylene Gas Images near SongKang Dong Added \n* This consolidate DB is different from 0703_1351 version in the sense that frame decimated before splitting\n* temperature_shift value changed from 15\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB_20230703.yaml"
}
@20230703_2132 [EP 1/500] lr: 0.009999999776482582, took: 0h:3m:48s, ETA: 1d:7h:36m:12s [TRAIN] loss: 0.3860, accu-50: 8.01%, iou: 47.56%, f1: 61.40% 242.21ms [EVAL] [249/249 step] loss: 0.7184, accu-50: 26.20%, iou: 16.77%, f1: 28.16%, 68.88ms
@20230703_2136 [EP 2/500] lr: 0.009817931801080704, took: 0h:3m:29s, ETA: 1d:4h:54m:42s [TRAIN] loss: 0.2336, accu-50: 79.42%, iou: 63.75%, f1: 76.64% 211.10ms [EVAL] [249/249 step] loss: 0.7322, accu-50: 80.56%, iou: 15.90%, f1: 26.78%, 63.68ms
@20230703_2139 [EP 3/500] lr: 0.0097281439229846, took: 0h:3m:22s, ETA: 1d:3h:53m:14s [TRAIN] loss: 0.1817, accu-50: 82.26%, iou: 69.70%, f1: 81.83% 211.28ms [EVAL] [249/249 step] loss: 0.9728, accu-50: 72.84%, iou: 1.69%, f1: 2.72%, 63.22ms
@20230703_2142 [EP 4/500] lr: 0.009639178402721882, took: 0h:3m:22s, ETA: 1d:3h:49m:52s [TRAIN] loss: 0.1495, accu-50: 84.88%, iou: 74.18%, f1: 85.05% 211.22ms [EVAL] [249/249 step] loss: 0.1547, accu-50: 79.83%, iou: 73.61%, f1: 84.53%, 63.22ms
@20230703_2145 [EP 5/500] lr: 0.009551024995744228, took: 0h:3m:19s, ETA: 1d:3h:21m:45s [TRAIN] loss: 0.1386, accu-50: 86.38%, iou: 75.84%, f1: 86.14% 211.21ms [EVAL] [249/249 step] loss: 0.1561, accu-50: 83.59%, iou: 73.22%, f1: 84.39%, 63.15ms
@20230703_2149 [EP 6/500] lr: 0.009463679045438766, took: 0h:3m:20s, ETA: 1d:3h:26m:40s [TRAIN] loss: 0.1273, accu-50: 87.45%, iou: 77.55%, f1: 87.27% 211.20ms [EVAL] [249/249 step] loss: 0.1328, accu-50: 84.62%, iou: 76.68%, f1: 86.72%, 63.41ms
@20230703_2152 [EP 7/500] lr: 0.00937713123857975, took: 0h:3m:18s, ETA: 1d:3h:6m:54s [TRAIN] loss: 0.1257, accu-50: 87.69%, iou: 77.86%, f1: 87.43% 211.43ms [EVAL] [249/249 step] loss: 0.2079, accu-50: 92.73%, iou: 65.86%, f1: 79.21%, 63.50ms
@20230703_2155 [EP 8/500] lr: 0.009291375055909157, took: 0h:3m:17s, ETA: 1d:2h:55m:24s [TRAIN] loss: 0.1172, accu-50: 88.50%, iou: 79.13%, f1: 88.28% 211.39ms [EVAL] [249/249 step] loss: 0.4306, accu-50: 91.69%, iou: 40.55%, f1: 56.94%, 63.37ms
@20230703_2158 [EP 9/500] lr: 0.00920640304684639, took: 0h:3m:16s, ETA: 1d:2h:43m:56s [TRAIN] loss: 0.1106, accu-50: 88.52%, iou: 80.20%, f1: 88.94% 211.39ms [EVAL] [249/249 step] loss: 0.8097, accu-50: 80.10%, iou: 10.84%, f1: 19.03%, 63.40ms
@20230703_2201 [EP 10/500] lr: 0.009122208692133427, took: 0h:3m:16s, ETA: 1d:2h:40m:40s [TRAIN] loss: 0.1063, accu-50: 89.51%, iou: 80.90%, f1: 89.37% 211.34ms [EVAL] [249/249 step] loss: 0.5882, accu-50: 96.63%, iou: 26.74%, f1: 41.18%, 63.40ms
@20230703_2205 [EP 11/500] lr: 0.009038783609867096, took: 0h:3m:15s, ETA: 1d:2h:29m:15s [TRAIN] loss: 0.1006, accu-50: 90.18%, iou: 81.80%, f1: 89.94% 211.38ms [EVAL] [249/249 step] loss: 0.8751, accu-50: 87.16%, iou: 7.09%, f1: 12.49%, 63.36ms
@20230703_2208 [EP 12/500] lr: 0.00895612221211195, took: 0h:3m:15s, ETA: 1d:2h:26m:0s [TRAIN] loss: 0.0975, accu-50: 90.34%, iou: 82.31%, f1: 90.25% 211.33ms [EVAL] [249/249 step] loss: 0.4224, accu-50: 81.51%, iou: 41.30%, f1: 57.76%, 63.31ms
@20230703_2211 [EP 13/500] lr: 0.008874216116964817, took: 0h:3m:14s, ETA: 1d:2h:14m:38s [TRAIN] loss: 0.0963, accu-50: 90.45%, iou: 82.51%, f1: 90.37% 211.30ms [EVAL] [249/249 step] loss: 0.1759, accu-50: 76.02%, iou: 70.26%, f1: 82.41%, 63.53ms
@20230703_2214 [EP 14/500] lr: 0.008793058805167675, took: 0h:3m:15s, ETA: 1d:2h:19m:30s [TRAIN] loss: 0.0907, accu-50: 91.00%, iou: 83.45%, f1: 90.93% 211.32ms [EVAL] [249/249 step] loss: 0.1287, accu-50: 84.07%, iou: 77.34%, f1: 87.13%, 63.19ms
@20230703_2218 [EP 15/500] lr: 0.008712644688785076, took: 0h:3m:14s, ETA: 1d:2h:8m:10s [TRAIN] loss: 0.0890, accu-50: 91.15%, iou: 83.72%, f1: 91.10% 211.34ms [EVAL] [249/249 step] loss: 0.1835, accu-50: 73.07%, iou: 69.12%, f1: 81.65%, 63.50ms
@20230703_2221 [EP 16/500] lr: 0.008632965385913849, took: 0h:3m:15s, ETA: 1d:2h:13m:0s [TRAIN] loss: 0.0872, accu-50: 91.51%, iou: 84.03%, f1: 91.28% 211.34ms [EVAL] [249/249 step] loss: 0.1029, accu-50: 93.38%, iou: 81.46%, f1: 89.71%, 63.34ms
@20230703_2224 [EP 17/500] lr: 0.008554015308618546, took: 0h:3m:15s, ETA: 1d:2h:9m:45s [TRAIN] loss: 0.0860, accu-50: 91.50%, iou: 84.23%, f1: 91.40% 211.39ms [EVAL] [249/249 step] loss: 0.1005, accu-50: 92.39%, iou: 81.82%, f1: 89.95%, 63.53ms
@20230703_2227 [EP 18/500] lr: 0.008475786074995995, took: 0h:3m:15s, ETA: 1d:2h:6m:30s [TRAIN] loss: 0.0839, accu-50: 91.96%, iou: 84.59%, f1: 91.61% 211.26ms [EVAL] [249/249 step] loss: 0.1352, accu-50: 83.26%, iou: 76.33%, f1: 86.48%, 63.57ms
@20230703_2231 [EP 19/500] lr: 0.008398273028433323, took: 0h:3m:15s, ETA: 1d:2h:3m:15s [TRAIN] loss: 0.0840, accu-50: 92.25%, iou: 84.58%, f1: 91.60% 211.38ms [EVAL] [249/249 step] loss: 0.1134, accu-50: 94.28%, iou: 79.74%, f1: 88.66%, 63.31ms
@20230703_2234 [EP 20/500] lr: 0.008321468718349934, took: 0h:3m:14s, ETA: 1d:1h:52m:0s [TRAIN] loss: 0.0790, accu-50: 92.17%, iou: 85.42%, f1: 92.10% 211.34ms [EVAL] [249/249 step] loss: 0.1341, accu-50: 85.92%, iou: 76.58%, f1: 86.59%, 63.37ms
@20230703_2237 [EP 21/500] lr: 0.008245367556810379, took: 0h:3m:14s, ETA: 1d:1h:48m:46s [TRAIN] loss: 0.0782, accu-50: 92.35%, iou: 85.56%, f1: 92.18% 211.29ms [EVAL] [249/249 step] loss: 0.1183, accu-50: 93.76%, iou: 79.01%, f1: 88.17%, 63.45ms
@20230703_2240 [EP 22/500] lr: 0.008169961161911488, took: 0h:3m:14s, ETA: 1d:1h:45m:32s [TRAIN] loss: 0.0776, accu-50: 92.38%, iou: 85.65%, f1: 92.24% 211.27ms [EVAL] [249/249 step] loss: 0.2294, accu-50: 70.39%, iou: 63.52%, f1: 77.06%, 63.46ms
@20230703_2243 [EP 23/500] lr: 0.008095244877040386, took: 0h:3m:14s, ETA: 1d:1h:42m:18s [TRAIN] loss: 0.0760, accu-50: 92.09%, iou: 85.93%, f1: 92.40% 211.23ms [EVAL] [249/249 step] loss: 0.1153, accu-50: 88.60%, iou: 79.49%, f1: 88.47%, 63.35ms
@20230703_2247 [EP 24/500] lr: 0.008021212182939053, took: 0h:3m:14s, ETA: 1d:1h:39m:4s [TRAIN] loss: 0.0749, accu-50: 92.75%, iou: 86.12%, f1: 92.51% 211.34ms [EVAL] [249/249 step] loss: 0.1030, accu-50: 92.43%, iou: 81.44%, f1: 89.70%, 63.47ms
@20230703_2250 [EP 25/500] lr: 0.007947856560349464, took: 0h:3m:13s, ETA: 1d:1h:27m:55s [TRAIN] loss: 0.0737, accu-50: 92.56%, iou: 86.32%, f1: 92.63% 211.34ms [EVAL] [249/249 step] loss: 0.1250, accu-50: 92.64%, iou: 77.92%, f1: 87.50%, 63.38ms
@20230703_2253 [EP 26/500] lr: 0.0078751714900136, took: 0h:3m:13s, ETA: 1d:1h:24m:42s [TRAIN] loss: 0.0714, accu-50: 93.07%, iou: 86.72%, f1: 92.86% 211.32ms [EVAL] [249/249 step] loss: 0.1918, accu-50: 95.22%, iou: 68.29%, f1: 80.82%, 63.37ms
@20230703_2256 [EP 27/500] lr: 0.0078031509183347225, took: 0h:3m:13s, ETA: 1d:1h:21m:29s [TRAIN] loss: 0.0707, accu-50: 92.91%, iou: 86.84%, f1: 92.93% 211.24ms [EVAL] [249/249 step] loss: 0.1928, accu-50: 79.56%, iou: 67.91%, f1: 80.72%, 63.28ms
@20230703_2259 [EP 28/500] lr: 0.007731789257377386, took: 0h:3m:13s, ETA: 1d:1h:18m:16s [TRAIN] loss: 0.0693, accu-50: 93.25%, iou: 87.08%, f1: 93.07% 211.21ms [EVAL] [249/249 step] loss: 0.1447, accu-50: 80.19%, iou: 74.86%, f1: 85.53%, 63.91ms
@20230703_2302 [EP 29/500] lr: 0.007661079987883568, took: 0h:3m:13s, ETA: 1d:1h:15m:3s [TRAIN] loss: 0.0698, accu-50: 93.05%, iou: 87.00%, f1: 93.02% 211.27ms [EVAL] [249/249 step] loss: 0.1621, accu-50: 83.57%, iou: 72.27%, f1: 83.79%, 64.51ms
@20230703_2306 [EP 30/500] lr: 0.00759101752191782, took: 0h:3m:13s, ETA: 1d:1h:11m:50s [TRAIN] loss: 0.0670, accu-50: 93.42%, iou: 87.48%, f1: 93.30% 211.46ms [EVAL] [249/249 step] loss: 0.0863, accu-50: 94.75%, iou: 84.18%, f1: 91.37%, 63.90ms
@20230703_2309 [EP 31/500] lr: 0.007521595805883408, took: 0h:3m:13s, ETA: 1d:1h:8m:37s [TRAIN] loss: 0.0668, accu-50: 93.62%, iou: 87.53%, f1: 93.32% 211.18ms [EVAL] [249/249 step] loss: 0.1224, accu-50: 85.31%, iou: 78.32%, f1: 87.76%, 64.08ms
@20230703_2312 [EP 32/500] lr: 0.007452809251844883, took: 0h:3m:13s, ETA: 1d:1h:5m:24s [TRAIN] loss: 0.0654, accu-50: 93.60%, iou: 87.77%, f1: 93.46% 211.17ms [EVAL] [249/249 step] loss: 0.0981, accu-50: 87.68%, iou: 82.20%, f1: 90.19%, 63.54ms
@20230703_2315 [EP 33/500] lr: 0.007384651340544224, took: 0h:3m:13s, ETA: 1d:1h:2m:11s [TRAIN] loss: 0.0646, accu-50: 93.71%, iou: 87.90%, f1: 93.54% 211.23ms [EVAL] [249/249 step] loss: 0.1236, accu-50: 93.74%, iou: 78.17%, f1: 87.64%, 63.22ms
@20230703_2319 [EP 34/500] lr: 0.00731711694970727, took: 0h:3m:13s, ETA: 1d:0h:58m:58s [TRAIN] loss: 0.0643, accu-50: 93.78%, iou: 87.95%, f1: 93.57% 211.38ms [EVAL] [249/249 step] loss: 0.1116, accu-50: 89.03%, iou: 80.01%, f1: 88.84%, 63.52ms
@20230703_2322 [EP 35/500] lr: 0.007250200025737286, took: 0h:3m:13s, ETA: 1d:0h:55m:45s [TRAIN] loss: 0.0631, accu-50: 93.95%, iou: 88.16%, f1: 93.69% 211.27ms [EVAL] [249/249 step] loss: 0.0899, accu-50: 93.68%, iou: 83.58%, f1: 91.01%, 63.51ms
@20230703_2325 [EP 36/500] lr: 0.007183895446360111, took: 0h:3m:13s, ETA: 1d:0h:52m:32s [TRAIN] loss: 0.0617, accu-50: 93.93%, iou: 88.42%, f1: 93.83% 211.37ms [EVAL] [249/249 step] loss: 0.1170, accu-50: 96.73%, iou: 79.17%, f1: 88.30%, 63.65ms
