

** [alpha] Launch Training on 20230712_2058
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230712_2100 @20230712_2100 [EP 1/500] lr: 0.009999999776482582, took: 118.39s (avg: 118.39s), ETA: 0d:16h:21m:22s [TRAIN] loss: 0.3883, iou: 0.4690, f1: 0.6117 [EVAL] loss: 0.9930, iou: 0.0036, f1: 0.0070
@20230712_2101 @20230712_2101 [EP 2/500] lr: 0.00990854762494564, took: 57.50s (avg: 57.50s), ETA: 0d:7h:53m:6s [TRAIN] loss: 0.2186, iou: 0.6460, f1: 0.7814 [EVAL] loss: 0.9948, iou: 0.0027, f1: 0.0052
@20230712_2102 @20230712_2102 [EP 3/500] lr: 0.009817931801080704, took: 56.84s (avg: 56.84s), ETA: 0d:7h:43m:52s [TRAIN] loss: 0.1620, iou: 0.7232, f1: 0.8380 [EVAL] loss: 0.9547, iou: 0.0249, f1: 0.0453
@20230712_2103 @20230712_2103 [EP 4/500] lr: 0.0097281439229846, took: 57.10s (avg: 57.10s), ETA: 0d:7h:51m:12s [TRAIN] loss: 0.1457, iou: 0.7476, f1: 0.8543 [EVAL] loss: 0.8938, iou: 0.0623, f1: 0.1062
@20230712_2104 @20230712_2104 [EP 5/500] lr: 0.009639178402721882, took: 57.21s (avg: 57.21s), ETA: 0d:7h:50m:15s [TRAIN] loss: 0.1289, iou: 0.7730, f1: 0.8711 [EVAL] loss: 0.5589, iou: 0.2917, f1: 0.4411
@20230712_2105 @20230712_2105 [EP 6/500] lr: 0.009551024995744228, took: 57.13s (avg: 57.13s), ETA: 0d:7h:49m:18s [TRAIN] loss: 0.1191, iou: 0.7883, f1: 0.8809 [EVAL] loss: 0.2193, iou: 0.6460, f1: 0.7807
@20230712_2106 @20230712_2106 [EP 7/500] lr: 0.009463679045438766, took: 57.25s (avg: 57.25s), ETA: 0d:7h:48m:21s [TRAIN] loss: 0.1106, iou: 0.8018, f1: 0.8894 [EVAL] loss: 0.9180, iou: 0.0461, f1: 0.0820
@20230712_2107 @20230712_2107 [EP 8/500] lr: 0.00937713123857975, took: 65.69s (avg: 65.69s), ETA: 0d:8h:53m:0s [TRAIN] loss: 0.1018, iou: 0.8160, f1: 0.8982 [EVAL] loss: 0.9493, iou: 0.0284, f1: 0.0507
@20230712_2108 @20230712_2108 [EP 9/500] lr: 0.009291375055909157, took: 66.92s (avg: 66.92s), ETA: 0d:9h:0m:6s [TRAIN] loss: 0.1015, iou: 0.8167, f1: 0.8985 [EVAL] loss: 0.7750, iou: 0.1317, f1: 0.2250
@20230712_2109 @20230712_2109 [EP 10/500] lr: 0.00920640304684639, took: 66.99s (avg: 66.99s), ETA: 0d:8h:59m:0s [TRAIN] loss: 0.0955, iou: 0.8265, f1: 0.9045 [EVAL] loss: 0.3856, iou: 0.4501, f1: 0.6144
@20230712_2110 @20230712_2110 [EP 11/500] lr: 0.009122208692133427, took: 66.75s (avg: 66.75s), ETA: 0d:8h:57m:54s [TRAIN] loss: 0.0968, iou: 0.8244, f1: 0.9032 [EVAL] loss: 0.9923, iou: 0.0039, f1: 0.0077
