

** [alpha] Launch Training on 20230723_1846
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "UNET",
  "baseModel": "ResNet50",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 16,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n",
  "isCompleted": false,
  "config": "Config/TRAIN_UNET_ResNet50_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230723_1849 @20230723_1849 [EP 1/500] lr: 0.009999999776482582, took: 151.72s (avg: 151.72s), ETA: 0d:20h:55m:49s [TRAIN] loss: 0.6193, iou: 0.2586, f1: 0.3807 [EVAL] loss: 0.9948, iou: 0.0026, f1: 0.0052
@20230723_1850 @20230723_1850 [EP 2/500] lr: 0.00990854762494564, took: 83.28s (avg: 83.28s), ETA: 0d:11h:28m:54s [TRAIN] loss: 0.3365, iou: 0.5058, f1: 0.6635 [EVAL] loss: 0.9971, iou: 0.0016, f1: 0.0029
@20230723_1851 @20230723_1851 [EP 3/500] lr: 0.009817931801080704, took: 83.49s (avg: 83.49s), ETA: 0d:11h:27m:31s [TRAIN] loss: 0.2805, iou: 0.5699, f1: 0.7195 [EVAL] loss: 0.9993, iou: 0.0004, f1: 0.0007
@20230723_1853 @20230723_1853 [EP 4/500] lr: 0.0097281439229846, took: 83.35s (avg: 83.35s), ETA: 0d:11h:26m:8s [TRAIN] loss: 0.2067, iou: 0.6610, f1: 0.7933 [EVAL] loss: 0.9830, iou: 0.0090, f1: 0.0170
@20230723_1854 @20230723_1854 [EP 5/500] lr: 0.009639178402721882, took: 83.31s (avg: 83.31s), ETA: 0d:11h:24m:45s [TRAIN] loss: 0.1858, iou: 0.6897, f1: 0.8142 [EVAL] loss: 0.9709, iou: 0.0159, f1: 0.0291
@20230723_1856 @20230723_1856 [EP 6/500] lr: 0.009551024995744228, took: 83.39s (avg: 83.39s), ETA: 0d:11h:23m:22s [TRAIN] loss: 0.1678, iou: 0.7155, f1: 0.8322 [EVAL] loss: 0.7335, iou: 0.1607, f1: 0.2665
@20230723_1857 @20230723_1857 [EP 7/500] lr: 0.009463679045438766, took: 83.39s (avg: 83.39s), ETA: 0d:11h:21m:59s [TRAIN] loss: 0.1530, iou: 0.7370, f1: 0.8470 [EVAL] loss: 0.8860, iou: 0.0611, f1: 0.1140
@20230723_1858 @20230723_1858 [EP 8/500] lr: 0.00937713123857975, took: 83.31s (avg: 83.31s), ETA: 0d:11h:20m:36s [TRAIN] loss: 0.1440, iou: 0.7503, f1: 0.8560 [EVAL] loss: 0.9121, iou: 0.0481, f1: 0.0879
@20230723_1900 @20230723_1900 [EP 9/500] lr: 0.009291375055909157, took: 83.87s (avg: 83.87s), ETA: 0d:11h:19m:13s [TRAIN] loss: 0.1302, iou: 0.7714, f1: 0.8698 [EVAL] loss: 0.7394, iou: 0.1560, f1: 0.2606
@20230723_1901 @20230723_1901 [EP 10/500] lr: 0.00920640304684639, took: 83.59s (avg: 83.59s), ETA: 0d:11h:17m:50s [TRAIN] loss: 0.1192, iou: 0.7886, f1: 0.8808 [EVAL] loss: 0.4841, iou: 0.3557, f1: 0.5159
@20230723_1903 @20230723_1903 [EP 11/500] lr: 0.009122208692133427, took: 83.44s (avg: 83.44s), ETA: 0d:11h:16m:27s [TRAIN] loss: 0.1123, iou: 0.7993, f1: 0.8877 [EVAL] loss: 0.3528, iou: 0.4856, f1: 0.6472
