@20230830_2045 @20230830_2045 [EP 1/500] lr: 8.517630340065807e-05, took: 126.18s (avg: 126.18s), ETA: 0d:17h:27m:54s [TRAIN] loss: 0.1742, iou: 0.0845, f1: 0.1461 [EVAL] loss: 0.2148, iou: 0.0018, f1: 0.0035
@20230830_2046 @20230830_2046 [EP 2/500] lr: 8.367252303287387e-05, took: 67.65s (avg: 67.65s), ETA: 0d:9h:16m:6s [TRAIN] loss: 0.0730, iou: 0.4867, f1: 0.6427 [EVAL] loss: 0.2136, iou: 0.0035, f1: 0.0070
@20230830_2047 @20230830_2047 [EP 3/500] lr: 8.222092583309859e-05, took: 60.96s (avg: 60.96s), ETA: 0d:8h:17m:0s [TRAIN] loss: 0.0367, iou: 0.7002, f1: 0.8220 [EVAL] loss: 0.2153, iou: 0.0003, f1: 0.0007
@20230830_2048 @20230830_2048 [EP 4/500] lr: 8.08188269729726e-05, took: 61.05s (avg: 61.05s), ETA: 0d:8h:24m:16s [TRAIN] loss: 0.0268, iou: 0.7724, f1: 0.8709 [EVAL] loss: 0.2146, iou: 0.0028, f1: 0.0055
@20230830_2049 @20230830_2049 [EP 5/500] lr: 7.946375262690708e-05, took: 61.06s (avg: 61.06s), ETA: 0d:8h:23m:15s [TRAIN] loss: 0.0235, iou: 0.7978, f1: 0.8870 [EVAL] loss: 0.1467, iou: 0.1946, f1: 0.3190
@20230830_2050 @20230830_2050 [EP 6/500] lr: 7.815335993655026e-05, took: 61.04s (avg: 61.04s), ETA: 0d:8h:22m:14s [TRAIN] loss: 0.0210, iou: 0.8177, f1: 0.8992 [EVAL] loss: 0.0583, iou: 0.5759, f1: 0.7288
@20230830_2051 @20230830_2051 [EP 7/500] lr: 7.688549521844834e-05, took: 61.05s (avg: 61.05s), ETA: 0d:8h:21m:13s [TRAIN] loss: 0.0199, iou: 0.8260, f1: 0.9043 [EVAL] loss: 0.0509, iou: 0.6203, f1: 0.7641
@20230830_2052 @20230830_2052 [EP 8/500] lr: 7.565810665255412e-05, took: 61.04s (avg: 61.04s), ETA: 0d:8h:20m:12s [TRAIN] loss: 0.0190, iou: 0.8340, f1: 0.9091 [EVAL] loss: 0.0338, iou: 0.7288, f1: 0.8422
@20230830_2054 @20230830_2054 [EP 9/500] lr: 7.44692879379727e-05, took: 61.68s (avg: 61.68s), ETA: 0d:8h:19m:11s [TRAIN] loss: 0.0176, iou: 0.8452, f1: 0.9158 [EVAL] loss: 0.0329, iou: 0.7353, f1: 0.8465
@20230830_2055 @20230830_2055 [EP 10/500] lr: 7.331724918913096e-05, took: 61.08s (avg: 61.08s), ETA: 0d:8h:18m:10s [TRAIN] loss: 0.0165, iou: 0.8543, f1: 0.9212 [EVAL] loss: 0.0342, iou: 0.7280, f1: 0.8414
@20230830_2056 @20230830_2056 [EP 11/500] lr: 7.220032421173528e-05, took: 61.10s (avg: 61.10s), ETA: 0d:8h:17m:9s [TRAIN] loss: 0.0167, iou: 0.8530, f1: 0.9204 [EVAL] loss: 0.0297, iou: 0.7593, f1: 0.8622
@20230830_2057 @20230830_2057 [EP 12/500] lr: 7.111690501915291e-05, took: 61.06s (avg: 61.06s), ETA: 0d:8h:16m:8s [TRAIN] loss: 0.0168, iou: 0.8524, f1: 0.9200 [EVAL] loss: 0.0341, iou: 0.7291, f1: 0.8422
@20230830_2058 @20230830_2058 [EP 13/500] lr: 7.00655291439034e-05, took: 61.04s (avg: 61.04s), ETA: 0d:8h:15m:7s [TRAIN] loss: 0.0160, iou: 0.8589, f1: 0.9238 [EVAL] loss: 0.0526, iou: 0.6152, f1: 0.7595
@20230830_2059 @20230830_2059 [EP 14/500] lr: 6.9044777774252e-05, took: 60.95s (avg: 60.95s), ETA: 0d:8h:6m:0s [TRAIN] loss: 0.0146, iou: 0.8699, f1: 0.9302 [EVAL] loss: 0.0376, iou: 0.7065, f1: 0.8269
@20230830_2100 @20230830_2100 [EP 15/500] lr: 6.805334123782814e-05, took: 61.15s (avg: 61.15s), ETA: 0d:8h:13m:5s [TRAIN] loss: 0.0142, iou: 0.8731, f1: 0.9321 [EVAL] loss: 0.0334, iou: 0.7343, f1: 0.8459
@20230830_2101 @20230830_2101 [EP 16/500] lr: 6.708998262183741e-05, took: 61.09s (avg: 61.09s), ETA: 0d:8h:12m:4s [TRAIN] loss: 0.0144, iou: 0.8719, f1: 0.9314 [EVAL] loss: 0.0320, iou: 0.7432, f1: 0.8518
@20230830_2102 @20230830_2102 [EP 17/500] lr: 6.615352322114632e-05, took: 61.28s (avg: 61.28s), ETA: 0d:8h:11m:3s [TRAIN] loss: 0.0151, iou: 0.8660, f1: 0.9280 [EVAL] loss: 0.0308, iou: 0.7519, f1: 0.8575
@20230830_2103 @20230830_2103 [EP 18/500] lr: 6.524283526232466e-05, took: 61.00s (avg: 61.00s), ETA: 0d:8h:10m:2s [TRAIN] loss: 0.0146, iou: 0.8703, f1: 0.9305 [EVAL] loss: 0.0288, iou: 0.7660, f1: 0.8669
@20230830_2104 @20230830_2104 [EP 19/500] lr: 6.435687828343362e-05, took: 61.07s (avg: 61.07s), ETA: 0d:8h:9m:1s [TRAIN] loss: 0.0136, iou: 0.8782, f1: 0.9350 [EVAL] loss: 0.0280, iou: 0.7719, f1: 0.8707
@20230830_2105 @20230830_2105 [EP 20/500] lr: 6.349467003019527e-05, took: 60.99s (avg: 60.99s), ETA: 0d:8h:0m:0s [TRAIN] loss: 0.0131, iou: 0.8824, f1: 0.9374 [EVAL] loss: 0.0234, iou: 0.8044, f1: 0.8911
@20230830_2106 @20230830_2106 [EP 21/500] lr: 6.265525007620454e-05, took: 60.98s (avg: 60.98s), ETA: 0d:7h:59m:0s [TRAIN] loss: 0.0131, iou: 0.8828, f1: 0.9376 [EVAL] loss: 0.0251, iou: 0.7924, f1: 0.8834
@20230830_2107 @20230830_2107 [EP 22/500] lr: 6.183773803059012e-05, took: 61.04s (avg: 61.04s), ETA: 0d:8h:5m:58s [TRAIN] loss: 0.0130, iou: 0.8838, f1: 0.9382 [EVAL] loss: 0.0221, iou: 0.8146, f1: 0.8973
@20230830_2108 @20230830_2108 [EP 23/500] lr: 6.104128260631114e-05, took: 61.42s (avg: 61.42s), ETA: 0d:8h:4m:57s [TRAIN] loss: 0.0131, iou: 0.8829, f1: 0.9376 [EVAL] loss: 0.0235, iou: 0.8047, f1: 0.8912
@20230830_2109 @20230830_2109 [EP 24/500] lr: 6.026509072398767e-05, took: 60.98s (avg: 60.98s), ETA: 0d:7h:56m:0s [TRAIN] loss: 0.0134, iou: 0.8803, f1: 0.9362 [EVAL] loss: 0.0397, iou: 0.6959, f1: 0.8192
@20230830_2110 @20230830_2110 [EP 25/500] lr: 5.950838385615498e-05, took: 61.06s (avg: 61.06s), ETA: 0d:8h:2m:55s [TRAIN] loss: 0.0135, iou: 0.8799, f1: 0.9360 [EVAL] loss: 0.0265, iou: 0.7836, f1: 0.8780
@20230830_2111 @20230830_2111 [EP 26/500] lr: 5.877044895896688e-05, took: 60.98s (avg: 60.98s), ETA: 0d:7h:54m:0s [TRAIN] loss: 0.0134, iou: 0.8803, f1: 0.9361 [EVAL] loss: 0.0252, iou: 0.7930, f1: 0.8840
@20230830_2112 @20230830_2112 [EP 27/500] lr: 5.8050587540492415e-05, took: 61.03s (avg: 61.03s), ETA: 0d:8h:0m:53s [TRAIN] loss: 0.0127, iou: 0.8866, f1: 0.9397 [EVAL] loss: 0.0280, iou: 0.7733, f1: 0.8714
@20230830_2113 @20230830_2113 [EP 28/500] lr: 5.734814840252511e-05, took: 61.16s (avg: 61.16s), ETA: 0d:7h:59m:52s [TRAIN] loss: 0.0120, iou: 0.8919, f1: 0.9428 [EVAL] loss: 0.0251, iou: 0.7932, f1: 0.8839
