

** [alpha] Launch Training on 20230717_1800
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "UNETR",
  "baseModel": "TRANSFORMER",
  "numGPUs": 4,
  "modelSize": [
    256,
    256
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "image_size": 256,
  "num_layers": 12,
  "hidden_dim": 768,
  "mlp_dim": 3072,
  "num_heads": 12,
  "dropout_rate": 0.1,
  "num_patches": 256,
  "patch_size": 16,
  "num_channels": 3,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n",
  "isCompleted": false,
  "config": "Config/TRAIN_UNETR_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230717_1806 @20230717_1806 [EP 1/500] lr: 0.009999999776482582, took: 311.22s (avg: 311.22s), ETA: 1d:19h:6m:29s [TRAIN] loss: 0.8394, iou: 0.0905, f1: 0.1606 [EVAL] loss: 0.9847, iou: 0.0077, f1: 0.0153
@20230717_1810 @20230717_1810 [EP 2/500] lr: 0.00990854762494564, took: 236.58s (avg: 236.58s), ETA: 1d:8h:38m:48s [TRAIN] loss: 0.6535, iou: 0.2147, f1: 0.3465 [EVAL] loss: 1.0000, iou: 0.0000, f1: 0.0000
@20230717_1814 @20230717_1814 [EP 3/500] lr: 0.009817931801080704, took: 238.32s (avg: 238.32s), ETA: 1d:8h:51m:26s [TRAIN] loss: 0.5628, iou: 0.2858, f1: 0.4372 [EVAL] loss: 0.9999, iou: 0.0000, f1: 0.0001
@20230717_1818 @20230717_1818 [EP 4/500] lr: 0.0097281439229846, took: 236.13s (avg: 236.13s), ETA: 1d:8h:30m:56s [TRAIN] loss: 0.5212, iou: 0.3219, f1: 0.4788 [EVAL] loss: 0.9846, iou: 0.0078, f1: 0.0154
@20230717_1822 @20230717_1822 [EP 5/500] lr: 0.009639178402721882, took: 234.27s (avg: 234.27s), ETA: 1d:8h:10m:30s [TRAIN] loss: 0.4866, iou: 0.3530, f1: 0.5134 [EVAL] loss: 0.9900, iou: 0.0051, f1: 0.0100
@20230717_1825 @20230717_1825 [EP 6/500] lr: 0.009551024995744228, took: 204.81s (avg: 204.81s), ETA: 1d:3h:59m:36s [TRAIN] loss: 0.4682, iou: 0.3698, f1: 0.5318 [EVAL] loss: 0.9903, iou: 0.0049, f1: 0.0097
@20230717_1828 @20230717_1828 [EP 7/500] lr: 0.009463679045438766, took: 202.04s (avg: 202.04s), ETA: 1d:3h:39m:46s [TRAIN] loss: 0.4551, iou: 0.3818, f1: 0.5449 [EVAL] loss: 0.9843, iou: 0.0080, f1: 0.0157
@20230717_1832 @20230717_1832 [EP 8/500] lr: 0.00937713123857975, took: 202.76s (avg: 202.76s), ETA: 1d:3h:36m:24s [TRAIN] loss: 0.4489, iou: 0.3879, f1: 0.5511 [EVAL] loss: 0.9867, iou: 0.0068, f1: 0.0133
@20230717_1835 @20230717_1835 [EP 9/500] lr: 0.009291375055909157, took: 202.01s (avg: 202.01s), ETA: 1d:3h:33m:2s [TRAIN] loss: 0.4387, iou: 0.3974, f1: 0.5613 [EVAL] loss: 0.9873, iou: 0.0065, f1: 0.0127
@20230717_1839 @20230717_1839 [EP 10/500] lr: 0.00920640304684639, took: 202.16s (avg: 202.16s), ETA: 1d:3h:29m:40s [TRAIN] loss: 0.4196, iou: 0.4160, f1: 0.5804 [EVAL] loss: 0.9040, iou: 0.0518, f1: 0.0960
@20230717_1842 @20230717_1842 [EP 11/500] lr: 0.009122208692133427, took: 202.12s (avg: 202.12s), ETA: 1d:3h:26m:18s [TRAIN] loss: 0.4101, iou: 0.4255, f1: 0.5899 [EVAL] loss: 0.9228, iou: 0.0411, f1: 0.0772
