

** [elctron] Launch Training on 20230607_2015
{
  "HOST": "elctron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230303_1849_NEW_DLV3PP_FINAL_EPOCH_300/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 2.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* EffNet Base \n  - weight saved on eval f1 \n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230607_2032 [EP 1/500] took: 0h:16m:49s, ETA: 5d:19h:51m:31s [TRAIN] loss: 0.2638, accu-50: 35.01%, iou: 59.73%, f1: 73.62% 444.99ms [EVAL] [518/518 step] loss: 0.9466, accu-50: 37.45%, iou: 2.86%, f1: 5.34%, 77.48ms
@20230607_2048 [EP 2/500] took: 0h:16m:28s, ETA: 5d:16h:40m:24s [TRAIN] loss: 0.1859, accu-50: 81.42%, iou: 69.16%, f1: 81.41% 437.39ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.35ms
@20230607_2104 [EP 3/500] took: 0h:16m:20s, ETA: 5d:15h:17m:40s [TRAIN] loss: 0.1586, accu-50: 85.02%, iou: 73.02%, f1: 84.14% 436.55ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 75.86ms
@20230607_2120 [EP 4/500] took: 0h:16m:16s, ETA: 5d:14h:28m:16s [TRAIN] loss: 0.1410, accu-50: 85.36%, iou: 75.57%, f1: 85.90% 435.46ms [EVAL] [518/518 step] loss: 0.9966, accu-50: 69.16%, iou: 0.18%, f1: 0.34%, 76.10ms
@20230607_2137 [EP 5/500] took: 0h:16m:20s, ETA: 5d:14h:45m:0s [TRAIN] loss: 0.1296, accu-50: 86.92%, iou: 77.28%, f1: 87.04% 438.70ms [EVAL] [518/518 step] loss: 0.2662, accu-50: 80.30%, iou: 58.57%, f1: 73.38%, 75.88ms
@20230607_2153 [EP 6/500] took: 0h:16m:17s, ETA: 5d:14h:3m:58s [TRAIN] loss: 0.1168, accu-50: 88.34%, iou: 79.26%, f1: 88.32% 436.27ms [EVAL] [518/518 step] loss: 0.9784, accu-50: 2.50%, iou: 1.13%, f1: 2.16%, 76.12ms
@20230607_2209 [EP 7/500] took: 0h:16m:16s, ETA: 5d:13h:39m:28s [TRAIN] loss: 0.1129, accu-50: 88.78%, iou: 79.92%, f1: 88.71% 436.43ms [EVAL] [518/518 step] loss: 0.9987, accu-50: 21.85%, iou: 0.07%, f1: 0.13%, 76.35ms
@20230607_2225 [EP 8/500] took: 0h:16m:14s, ETA: 5d:13h:6m:48s [TRAIN] loss: 0.1070, accu-50: 89.31%, iou: 80.81%, f1: 89.30% 434.59ms [EVAL] [518/518 step] loss: 0.8646, accu-50: 87.73%, iou: 8.32%, f1: 13.54%, 76.17ms
@20230607_2241 [EP 9/500] took: 0h:16m:13s, ETA: 5d:12h:42m:23s [TRAIN] loss: 0.1024, accu-50: 89.77%, iou: 81.56%, f1: 89.76% 436.46ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.17ms
@20230607_2257 [EP 10/500] took: 0h:16m:12s, ETA: 5d:12h:18m:0s [TRAIN] loss: 0.0991, accu-50: 90.17%, iou: 82.08%, f1: 90.09% 437.71ms [EVAL] [518/518 step] loss: 0.9990, accu-50: 5.46%, iou: 0.07%, f1: 0.10%, 76.03ms
@20230607_2313 [EP 11/500] took: 0h:16m:11s, ETA: 5d:11h:53m:39s [TRAIN] loss: 0.0972, accu-50: 90.28%, iou: 82.41%, f1: 90.28% 435.62ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.35ms
@20230607_2329 [EP 12/500] took: 0h:16m:11s, ETA: 5d:11h:37m:28s [TRAIN] loss: 0.0949, accu-50: 90.54%, iou: 82.78%, f1: 90.51% 435.49ms [EVAL] [518/518 step] loss: 0.9984, accu-50: 1.23%, iou: 0.09%, f1: 0.16%, 76.23ms
@20230607_2346 [EP 13/500] took: 0h:16m:10s, ETA: 5d:11h:13m:10s [TRAIN] loss: 0.0923, accu-50: 90.76%, iou: 83.22%, f1: 90.77% 435.40ms [EVAL] [518/518 step] loss: 0.9670, accu-50: 84.62%, iou: 1.88%, f1: 3.30%, 76.38ms
@20230608_0002 [EP 14/500] took: 0h:16m:9s, ETA: 5d:10h:48m:54s [TRAIN] loss: 0.0919, accu-50: 91.01%, iou: 83.28%, f1: 90.81% 434.57ms [EVAL] [518/518 step] loss: 0.9686, accu-50: 86.25%, iou: 1.77%, f1: 3.14%, 76.24ms
@20230608_0018 [EP 15/500] took: 0h:16m:9s, ETA: 5d:10h:32m:45s [TRAIN] loss: 0.0885, accu-50: 90.92%, iou: 83.86%, f1: 91.15% 435.92ms [EVAL] [518/518 step] loss: 0.9978, accu-50: 0.51%, iou: 0.12%, f1: 0.22%, 76.28ms
@20230608_0034 [EP 16/500] took: 0h:16m:8s, ETA: 5d:10h:8m:32s [TRAIN] loss: 0.0862, accu-50: 91.30%, iou: 84.22%, f1: 91.38% 434.50ms [EVAL] [518/518 step] loss: 0.7380, accu-50: 82.36%, iou: 15.86%, f1: 26.20%, 76.09ms
@20230608_0050 [EP 17/500] took: 0h:16m:8s, ETA: 5d:9h:52m:24s [TRAIN] loss: 0.0868, accu-50: 91.34%, iou: 84.13%, f1: 91.32% 434.21ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.02%, iou: 0.00%, f1: 0.00%, 76.12ms
@20230608_0106 [EP 18/500] took: 0h:16m:7s, ETA: 5d:9h:28m:14s [TRAIN] loss: 0.0865, accu-50: 91.05%, iou: 84.17%, f1: 91.35% 433.85ms [EVAL] [518/518 step] loss: 0.9819, accu-50: 5.05%, iou: 0.94%, f1: 1.81%, 76.18ms
@20230608_0122 [EP 19/500] took: 0h:16m:7s, ETA: 5d:9h:12m:7s [TRAIN] loss: 0.0836, accu-50: 91.47%, iou: 84.65%, f1: 91.64% 436.03ms [EVAL] [518/518 step] loss: 0.9857, accu-50: 0.64%, iou: 0.73%, f1: 1.43%, 76.18ms
