

** [elctron] Launch Training on 20230610_1725
{
  "HOST": "elctron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": true,
  "prevEPOCH": 216,
  "resumeWeight": "./model_weights/EffNet/20230607_2015_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": "exp",
  "lr": 0.006253,
  "decay_steps": 2.3,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* EffNet Base \n  - weight saved on eval f1 \n  - resume from EP216\n  - lr changed the value at EP216: 0.006253\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_1742 [EP 217/500] took: 0h:16m:46s, ETA: 3d:7h:4m:58s [TRAIN] loss: 0.0569, accu-50: 94.42%, iou: 89.26%, f1: 94.31% 443.08ms [EVAL] [518/518 step] loss: 0.9806, accu-50: 0.99%, iou: 0.98%, f1: 1.94%, 78.34ms
@20230610_1759 [EP 218/500] took: 0h:16m:42s, ETA: 3d:6h:29m:24s [TRAIN] loss: 0.0567, accu-50: 94.27%, iou: 89.30%, f1: 94.33% 438.60ms [EVAL] [518/518 step] loss: 0.9744, accu-50: 1.30%, iou: 1.30%, f1: 2.56%, 76.41ms
@20230610_1815 [EP 219/500] took: 0h:16m:40s, ETA: 3d:6h:3m:20s [TRAIN] loss: 0.0567, accu-50: 94.31%, iou: 89.29%, f1: 94.33% 438.88ms [EVAL] [518/518 step] loss: 0.4010, accu-50: 76.59%, iou: 43.46%, f1: 59.90%, 76.53ms
@20230610_1832 [EP 220/500] took: 0h:16m:31s, ETA: 3d:5h:4m:40s [TRAIN] loss: 0.0566, accu-50: 94.30%, iou: 89.32%, f1: 94.34% 435.68ms [EVAL] [518/518 step] loss: 0.5330, accu-50: 43.66%, iou: 31.33%, f1: 46.70%, 76.59ms
@20230610_1848 [EP 221/500] took: 0h:16m:27s, ETA: 3d:4h:29m:33s [TRAIN] loss: 0.0567, accu-50: 94.27%, iou: 89.29%, f1: 94.33% 438.57ms [EVAL] [518/518 step] loss: 0.6031, accu-50: 60.96%, iou: 26.36%, f1: 39.69%, 76.49ms
@20230610_1904 [EP 222/500] took: 0h:16m:24s, ETA: 3d:3h:59m:12s [TRAIN] loss: 0.0568, accu-50: 94.23%, iou: 89.28%, f1: 94.32% 438.85ms [EVAL] [518/518 step] loss: 0.8394, accu-50: 56.15%, iou: 9.75%, f1: 16.06%, 76.44ms
@20230610_1920 [EP 223/500] took: 0h:16m:22s, ETA: 3d:3h:33m:34s [TRAIN] loss: 0.0567, accu-50: 94.32%, iou: 89.30%, f1: 94.33% 437.54ms [EVAL] [518/518 step] loss: 0.9751, accu-50: 4.12%, iou: 1.35%, f1: 2.49%, 76.56ms
@20230610_1936 [EP 224/500] took: 0h:16m:20s, ETA: 3d:3h:8m:0s [TRAIN] loss: 0.0567, accu-50: 94.31%, iou: 89.29%, f1: 94.33% 438.44ms [EVAL] [518/518 step] loss: 0.9682, accu-50: 1.80%, iou: 1.64%, f1: 3.18%, 76.59ms
@20230610_1952 [EP 225/500] took: 0h:16m:19s, ETA: 3d:2h:47m:5s [TRAIN] loss: 0.0570, accu-50: 94.22%, iou: 89.25%, f1: 94.30% 437.61ms [EVAL] [518/518 step] loss: 0.7746, accu-50: 62.54%, iou: 14.16%, f1: 22.54%, 76.54ms
@20230610_2009 [EP 226/500] took: 0h:16m:20s, ETA: 3d:2h:35m:20s [TRAIN] loss: 0.0565, accu-50: 94.32%, iou: 89.34%, f1: 94.35% 437.62ms [EVAL] [518/518 step] loss: 0.1969, accu-50: 86.86%, iou: 67.63%, f1: 80.31%, 76.65ms
@20230610_2025 [EP 227/500] took: 0h:16m:19s, ETA: 3d:2h:14m:27s [TRAIN] loss: 0.0565, accu-50: 94.31%, iou: 89.33%, f1: 94.35% 439.08ms [EVAL] [518/518 step] loss: 0.8570, accu-50: 33.91%, iou: 8.66%, f1: 14.30%, 76.35ms
@20230610_2041 [EP 228/500] took: 0h:16m:18s, ETA: 3d:1h:53m:36s [TRAIN] loss: 0.0564, accu-50: 94.26%, iou: 89.35%, f1: 94.36% 437.07ms [EVAL] [518/518 step] loss: 0.6861, accu-50: 16.12%, iou: 19.61%, f1: 31.39%, 76.26ms
@20230610_2057 [EP 229/500] took: 0h:16m:17s, ETA: 3d:1h:32m:47s [TRAIN] loss: 0.0566, accu-50: 94.32%, iou: 89.31%, f1: 94.34% 437.33ms [EVAL] [518/518 step] loss: 0.3059, accu-50: 83.39%, iou: 54.09%, f1: 69.41%, 76.60ms
@20230610_2114 [EP 230/500] took: 0h:16m:17s, ETA: 3d:1h:16m:30s [TRAIN] loss: 0.0566, accu-50: 94.33%, iou: 89.31%, f1: 94.34% 438.44ms [EVAL] [518/518 step] loss: 0.9684, accu-50: 2.61%, iou: 1.65%, f1: 3.16%, 76.53ms
@20230610_2130 [EP 231/500] took: 0h:16m:16s, ETA: 3d:0h:55m:44s [TRAIN] loss: 0.0563, accu-50: 94.36%, iou: 89.37%, f1: 94.37% 438.74ms [EVAL] [518/518 step] loss: 0.9476, accu-50: 8.09%, iou: 2.90%, f1: 5.24%, 76.63ms
