

** [electron] Launch Training on 20230612_1842
{
  "HOST": "electron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 216,
  "resumeWeight": "./model_weights/EffNet/20230607_2015_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* EffNet Base \n  - weight saved on eval f1 \n  - resume from EP216\n  - lr changed the value at EP216: 0.006253\n  - decay_step changed from 2.0 to 2.3 \n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230612_1859 [EP 1/500] lr: 0.009999999776482582, took: 0h:16m:50s, ETA: 5d:19h:59m:50s [TRAIN] loss: 0.2648, accu-50: 35.38%, iou: 59.63%, f1: 73.52% 444.52ms [EVAL] [518/518 step] loss: 0.9701, accu-50: 78.12%, iou: 1.64%, f1: 2.99%, 78.45ms
@20230612_1915 [EP 2/500] lr: 0.009817931801080704, took: 0h:16m:44s, ETA: 5d:18h:53m:12s [TRAIN] loss: 0.1899, accu-50: 82.03%, iou: 68.74%, f1: 81.01% 439.60ms [EVAL] [518/518 step] loss: 0.3739, accu-50: 82.35%, iou: 46.30%, f1: 62.61%, 76.56ms
@20230612_1932 [EP 3/500] lr: 0.0097281439229846, took: 0h:16m:34s, ETA: 5d:17h:13m:38s [TRAIN] loss: 0.1632, accu-50: 84.20%, iou: 72.38%, f1: 83.68% 440.16ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 6.23%, iou: 0.00%, f1: 0.00%, 76.34ms
@20230612_1948 [EP 4/500] lr: 0.009639178402721882, took: 0h:16m:27s, ETA: 5d:15h:59m:12s [TRAIN] loss: 0.1427, accu-50: 86.01%, iou: 75.33%, f1: 85.73% 436.67ms [EVAL] [518/518 step] loss: 0.9920, accu-50: 1.87%, iou: 0.42%, f1: 0.80%, 76.62ms
@20230612_2004 [EP 5/500] lr: 0.009551024995744228, took: 0h:16m:22s, ETA: 5d:15h:1m:30s [TRAIN] loss: 0.1378, accu-50: 86.68%, iou: 76.09%, f1: 86.22% 435.90ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.67ms
@20230612_2020 [EP 6/500] lr: 0.009463679045438766, took: 0h:16m:20s, ETA: 5d:14h:28m:40s [TRAIN] loss: 0.1229, accu-50: 87.97%, iou: 78.29%, f1: 87.71% 438.81ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.20ms
@20230612_2036 [EP 7/500] lr: 0.00937713123857975, took: 0h:16m:18s, ETA: 5d:13h:55m:54s [TRAIN] loss: 0.1181, accu-50: 87.99%, iou: 79.08%, f1: 88.19% 437.84ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.31ms
@20230612_2052 [EP 8/500] lr: 0.009291375055909157, took: 0h:16m:17s, ETA: 5d:13h:31m:24s [TRAIN] loss: 0.1097, accu-50: 88.88%, iou: 80.36%, f1: 89.03% 439.18ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 76.27ms
@20230612_2109 [EP 9/500] lr: 0.00920640304684639, took: 0h:16m:17s, ETA: 5d:13h:15m:7s [TRAIN] loss: 0.1077, accu-50: 88.99%, iou: 80.71%, f1: 89.23% 439.83ms [EVAL] [518/518 step] loss: 0.7083, accu-50: 90.26%, iou: 17.82%, f1: 29.17%, 76.43ms
@20230612_2125 [EP 10/500] lr: 0.009122208692133427, took: 0h:16m:16s, ETA: 5d:12h:50m:40s [TRAIN] loss: 0.1020, accu-50: 89.91%, iou: 81.61%, f1: 89.80% 439.92ms [EVAL] [518/518 step] loss: 0.9950, accu-50: 59.08%, iou: 0.29%, f1: 0.50%, 76.74ms
@20230612_2141 [EP 11/500] lr: 0.009038783609867096, took: 0h:16m:16s, ETA: 5d:12h:34m:24s [TRAIN] loss: 0.0983, accu-50: 90.18%, iou: 82.20%, f1: 90.17% 439.44ms [EVAL] [518/518 step] loss: 0.9544, accu-50: 60.10%, iou: 2.52%, f1: 4.56%, 76.46ms
@20230612_2157 [EP 12/500] lr: 0.00895612221211195, took: 0h:16m:15s, ETA: 5d:12h:10m:0s [TRAIN] loss: 0.0972, accu-50: 90.23%, iou: 82.39%, f1: 90.28% 438.81ms [EVAL] [518/518 step] loss: 0.9944, accu-50: 26.11%, iou: 0.29%, f1: 0.56%, 76.45ms
@20230612_2213 [EP 13/500] lr: 0.008874216116964817, took: 0h:16m:15s, ETA: 5d:11h:53m:45s [TRAIN] loss: 0.0940, accu-50: 90.68%, iou: 82.91%, f1: 90.60% 436.95ms [EVAL] [518/518 step] loss: 0.4900, accu-50: 35.47%, iou: 35.17%, f1: 51.00%, 76.73ms
@20230612_2230 [EP 14/500] lr: 0.008793058805167675, took: 0h:16m:14s, ETA: 5d:11h:29m:24s [TRAIN] loss: 0.0913, accu-50: 90.79%, iou: 83.36%, f1: 90.87% 438.37ms [EVAL] [518/518 step] loss: 0.9995, accu-50: 44.43%, iou: 0.03%, f1: 0.05%, 76.48ms
@20230612_2246 [EP 15/500] lr: 0.008712644688785076, took: 0h:16m:14s, ETA: 5d:11h:13m:10s [TRAIN] loss: 0.0931, accu-50: 90.96%, iou: 83.09%, f1: 90.69% 438.38ms [EVAL] [518/518 step] loss: 0.9275, accu-50: 83.84%, iou: 3.98%, f1: 7.25%, 76.57ms
@20230612_2302 [EP 16/500] lr: 0.008632965385913849, took: 0h:16m:14s, ETA: 5d:10h:56m:56s [TRAIN] loss: 0.0904, accu-50: 90.62%, iou: 83.50%, f1: 90.96% 437.91ms [EVAL] [518/518 step] loss: 0.9903, accu-50: 0.97%, iou: 0.50%, f1: 0.97%, 76.57ms
@20230612_2318 [EP 17/500] lr: 0.008554015308618546, took: 0h:16m:13s, ETA: 5d:10h:32m:39s [TRAIN] loss: 0.0867, accu-50: 91.09%, iou: 84.12%, f1: 91.33% 437.74ms [EVAL] [518/518 step] loss: 0.8159, accu-50: 92.14%, iou: 11.45%, f1: 18.41%, 76.42ms
@20230612_2334 [EP 18/500] lr: 0.008475786074995995, took: 0h:16m:13s, ETA: 5d:10h:16m:26s [TRAIN] loss: 0.0840, accu-50: 91.50%, iou: 84.57%, f1: 91.60% 438.94ms [EVAL] [518/518 step] loss: 0.9701, accu-50: 1.54%, iou: 1.56%, f1: 2.99%, 76.72ms
@20230612_2350 [EP 19/500] lr: 0.008398273028433323, took: 0h:16m:13s, ETA: 5d:10h:0m:13s [TRAIN] loss: 0.0836, accu-50: 91.47%, iou: 84.64%, f1: 91.64% 438.87ms [EVAL] [518/518 step] loss: 0.9257, accu-50: 6.20%, iou: 3.99%, f1: 7.43%, 76.55ms
