** [electron] Launch Training on 20230616_1511
{
  "HOST": "electron",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 178,
  "resumeWeight": "./model_weights/EffNet/20230612_1842_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 10,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 8,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 0.6,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n* New Exp on exp Lr\n  - Due to frequent network error, there was unexpected termination over the last two exp. \n  - This makes hard to observe the behavior of exponetial decay lr scheduling.\n  - So, this time, we decided to start it over gain, \n  -  Also, we change the decay_steps from 1.0 to .6 (hard coded value), which makes lr curve more steeper .\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230616_1528 [EP 1/500] lr: 0.009999999776482582, took: 0h:16m:23s, ETA: 5d:16h:15m:17s [TRAIN] loss: 0.2650, accu-50: 35.17%, iou: 59.58%, f1: 73.50% 444.45ms [EVAL] [518/518 step] loss: 0.9992, accu-50: 0.08%, iou: 0.04%, f1: 0.08%, 77.42ms
@20230616_1544 [EP 2/500] lr: 0.009698397479951382, took: 0h:16m:28s, ETA: 5d:16h:40m:24s [TRAIN] loss: 0.1787, accu-50: 82.70%, iou: 70.15%, f1: 82.13% 437.97ms [EVAL] [518/518 step] loss: 0.9785, accu-50: 8.54%, iou: 1.17%, f1: 2.15%, 75.56ms
@20230616_1600 [EP 3/500] lr: 0.009551024995744228, took: 0h:16m:24s, ETA: 5d:15h:50m:48s [TRAIN] loss: 0.1540, accu-50: 85.13%, iou: 73.67%, f1: 84.60% 441.19ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 75.37ms
@20230616_1617 [EP 4/500] lr: 0.009405892342329025, took: 0h:16m:21s, ETA: 5d:15h:9m:36s [TRAIN] loss: 0.1427, accu-50: 86.06%, iou: 75.33%, f1: 85.73% 441.07ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 75.80ms
@20230616_1633 [EP 5/500] lr: 0.009262964129447937, took: 0h:16m:19s, ETA: 5d:14h:36m:45s [TRAIN] loss: 0.1278, accu-50: 87.17%, iou: 77.55%, f1: 87.22% 439.36ms [EVAL] [518/518 step] loss: 0.9999, accu-50: 1.98%, iou: 0.00%, f1: 0.01%, 75.76ms
@20230616_1649 [EP 6/500] lr: 0.009122208692133427, took: 0h:16m:18s, ETA: 5d:14h:12m:12s [TRAIN] loss: 0.1212, accu-50: 87.88%, iou: 78.59%, f1: 87.88% 439.27ms [EVAL] [518/518 step] loss: 0.9993, accu-50: 2.32%, iou: 0.04%, f1: 0.07%, 75.68ms
@20230616_1705 [EP 7/500] lr: 0.008983591571450233, took: 0h:16m:17s, ETA: 5d:13h:47m:41s [TRAIN] loss: 0.1137, accu-50: 88.18%, iou: 79.77%, f1: 88.63% 438.42ms [EVAL] [518/518 step] loss: 0.9995, accu-50: 0.04%, iou: 0.02%, f1: 0.05%, 75.76ms
@20230616_1721 [EP 8/500] lr: 0.00884708110243082, took: 0h:16m:15s, ETA: 5d:13h:15m:0s [TRAIN] loss: 0.1073, accu-50: 89.25%, iou: 80.76%, f1: 89.27% 438.01ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 75.86ms
@20230616_1738 [EP 9/500] lr: 0.008712644688785076, took: 0h:16m:15s, ETA: 5d:12h:58m:45s [TRAIN] loss: 0.1055, accu-50: 89.43%, iou: 81.06%, f1: 89.45% 439.81ms [EVAL] [518/518 step] loss: 1.0000, accu-50: 0.02%, iou: 0.00%, f1: 0.00%, 75.79ms
@20230616_1754 [EP 10/500] lr: 0.008580251596868038, took: 0h:16m:15s, ETA: 5d:12h:42m:30s [TRAIN] loss: 0.1003, accu-50: 90.07%, iou: 81.88%, f1: 89.97% 438.98ms [EVAL] [518/518 step] loss: 0.9940, accu-50: 0.65%, iou: 0.31%, f1: 0.60%, 75.92ms
@20230616_1810 [EP 11/500] lr: 0.008449869230389595, took: 0h:16m:14s, ETA: 5d:12h:18m:6s [TRAIN] loss: 0.0965, accu-50: 90.15%, iou: 82.50%, f1: 90.35% 438.09ms [EVAL] [518/518 step] loss: 0.9987, accu-50: 0.10%, iou: 0.07%, f1: 0.13%, 75.82ms
