** [etri] Launch Training on 20230616_1532
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNet",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 99,
  "resumeWeight": "./model_weights/EffNet/20230613_1524_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 15,
  "lr_scheduling": "cos",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n* New Exp on Cos Lr\n  - Due to frequent network error, there was unexpected termination over the last two exp. \n  - This makes hard to observe the behavior of cos annealing lr scheduling.\n  - So, this time, we decided to start it over gain, \n  -  Also, we change the n_cycles from num_epochs/100 to 2.5 (hard coded value).\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3_EffNet.yaml"
}
@20230616_1550 [EP 1/500] lr: 0.009999999776482582, took: 0h:17m:30s, ETA: 6d:1h:32m:30s [TRAIN] loss: 0.2701, accu-50: 26.07%, iou: 58.92%, f1: 72.99% 892.62ms [EVAL] [276/276 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 153.83ms
@20230616_1607 [EP 2/500] lr: 0.009997532702982426, took: 0h:17m:10s, ETA: 5d:22h:29m:0s [TRAIN] loss: 0.1808, accu-50: 81.60%, iou: 69.89%, f1: 81.92% 857.03ms [EVAL] [276/276 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 152.57ms
@20230616_1625 [EP 3/500] lr: 0.009994449093937874, took: 0h:17m:19s, ETA: 5d:23h:26m:23s [TRAIN] loss: 0.1504, accu-50: 84.31%, iou: 74.16%, f1: 84.96% 874.16ms [EVAL] [276/276 step] loss: 0.6228, accu-50: 64.72%, iou: 23.77%, f1: 37.72%, 149.21ms
@20230616_1642 [EP 4/500] lr: 0.009990133345127106, took: 0h:17m:17s, ETA: 5d:22h:52m:32s [TRAIN] loss: 0.1317, accu-50: 86.55%, iou: 76.92%, f1: 86.83% 877.99ms [EVAL] [276/276 step] loss: 0.9938, accu-50: 8.61%, iou: 0.32%, f1: 0.62%, 154.65ms
@20230616_1659 [EP 5/500] lr: 0.009984586387872696, took: 0h:17m:17s, ETA: 5d:22h:35m:15s [TRAIN] loss: 0.1269, accu-50: 87.49%, iou: 77.69%, f1: 87.31% 879.33ms [EVAL] [276/276 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 151.54ms
@20230616_1716 [EP 6/500] lr: 0.009977810084819794, took: 0h:17m:16s, ETA: 5d:22h:9m:44s [TRAIN] loss: 0.1252, accu-50: 85.80%, iou: 78.02%, f1: 87.48% 877.29ms [EVAL] [276/276 step] loss: 0.8033, accu-50: 43.90%, iou: 11.73%, f1: 19.67%, 152.28ms
@20230616_1733 [EP 7/500] lr: 0.009969804435968399, took: 0h:17m:13s, ETA: 5d:21h:27m:49s [TRAIN] loss: 0.1105, accu-50: 88.61%, iou: 80.24%, f1: 88.95% 864.97ms [EVAL] [276/276 step] loss: 0.9806, accu-50: 25.12%, iou: 1.01%, f1: 1.94%, 151.13ms
@20230616_1750 [EP 8/500] lr: 0.00996057316660881, took: 0h:17m:12s, ETA: 5d:21h:2m:24s [TRAIN] loss: 0.1035, accu-50: 89.37%, iou: 81.32%, f1: 89.65% 868.19ms [EVAL] [276/276 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 148.62ms
@20230616_1807 [EP 9/500] lr: 0.009950118139386177, took: 0h:17m:11s, ETA: 5d:20h:37m:1s [TRAIN] loss: 0.1019, accu-50: 89.58%, iou: 81.60%, f1: 89.81% 870.74ms [EVAL] [276/276 step] loss: 0.9999, accu-50: 0.01%, iou: 0.01%, f1: 0.01%, 152.33ms
@20230616_1825 [EP 10/500] lr: 0.009938442148268223, took: 0h:17m:12s, ETA: 5d:20h:28m:0s [TRAIN] loss: 0.0957, accu-50: 90.11%, iou: 82.60%, f1: 90.43% 861.19ms [EVAL] [276/276 step] loss: 0.2364, accu-50: 69.87%, iou: 62.13%, f1: 76.36%, 152.55ms
@20230616_1842 [EP 11/500] lr: 0.009925547055900097, took: 0h:17m:12s, ETA: 5d:20h:10m:48s [TRAIN] loss: 0.0957, accu-50: 90.27%, iou: 82.61%, f1: 90.43% 875.04ms [EVAL] [276/276 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 152.69ms
