@20230805_1746 [EP 501/1000] lr: 8.018626249395311e-05, took: 0h:6m:24s, ETA: 2d:5h:13m:36s [TRAIN] loss: 0.0236, accu-50: 97.65%, iou: 95.39%, f1: 97.64% 906.35ms [EVAL] [117/117 step] loss: 0.0556, accu-50: 94.51%, iou: 89.49%, f1: 94.44%, 229.31ms
@20230805_1751 [EP 502/1000] lr: 7.94529405538924e-05, took: 0h:5m:39s, ETA: 1d:22h:53m:42s [TRAIN] loss: 0.0229, accu-50: 97.73%, iou: 95.52%, f1: 97.71% 704.02ms [EVAL] [117/117 step] loss: 0.0558, accu-50: 94.58%, iou: 89.45%, f1: 94.42%, 190.78ms
@20230805_1756 [EP 503/1000] lr: 7.872632704675198e-05, took: 0h:5m:22s, ETA: 1d:20h:27m:14s [TRAIN] loss: 0.0225, accu-50: 97.77%, iou: 95.60%, f1: 97.75% 691.69ms [EVAL] [117/117 step] loss: 0.0557, accu-50: 94.60%, iou: 89.48%, f1: 94.43%, 190.70ms
@20230805_1801 [EP 504/1000] lr: 7.80063564889133e-05, took: 0h:5m:18s, ETA: 1d:19h:48m:48s [TRAIN] loss: 0.0223, accu-50: 97.80%, iou: 95.65%, f1: 97.77% 734.79ms [EVAL] [117/117 step] loss: 0.0557, accu-50: 94.56%, iou: 89.47%, f1: 94.43%, 220.86ms
@20230805_1806 [EP 505/1000] lr: 7.729297067271546e-05, took: 0h:5m:15s, ETA: 1d:19h:18m:45s [TRAIN] loss: 0.0221, accu-50: 97.82%, iou: 95.68%, f1: 97.79% 725.03ms [EVAL] [117/117 step] loss: 0.0560, accu-50: 94.53%, iou: 89.42%, f1: 94.40%, 195.58ms
@20230805_1811 [EP 506/1000] lr: 7.658610411453992e-05, took: 0h:5m:14s, ETA: 1d:19h:5m:16s [TRAIN] loss: 0.0219, accu-50: 97.84%, iou: 95.72%, f1: 97.81% 737.22ms [EVAL] [117/117 step] loss: 0.0565, accu-50: 94.42%, iou: 89.34%, f1: 94.35%, 210.41ms
@20230805_1816 [EP 507/1000] lr: 7.58857058826834e-05, took: 0h:5m:11s, ETA: 1d:18h:35m:23s [TRAIN] loss: 0.0217, accu-50: 97.86%, iou: 95.75%, f1: 97.83% 705.58ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.56%, iou: 89.51%, f1: 94.45%, 191.40ms
@20230805_1821 [EP 508/1000] lr: 7.519171776948497e-05, took: 0h:5m:10s, ETA: 1d:18h:22m:0s [TRAIN] loss: 0.0216, accu-50: 97.87%, iou: 95.77%, f1: 97.84% 722.53ms [EVAL] [117/117 step] loss: 0.0553, accu-50: 94.65%, iou: 89.54%, f1: 94.47%, 191.29ms
@20230805_1826 [EP 509/1000] lr: 7.450406701536849e-05, took: 0h:5m:7s, ETA: 1d:17h:52m:17s [TRAIN] loss: 0.0215, accu-50: 97.88%, iou: 95.79%, f1: 97.85% 696.04ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.64%, iou: 89.52%, f1: 94.46%, 189.74ms
@20230805_1831 [EP 510/1000] lr: 7.382270996458828e-05, took: 0h:5m:5s, ETA: 1d:17h:30m:50s [TRAIN] loss: 0.0214, accu-50: 97.89%, iou: 95.81%, f1: 97.86% 689.43ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.62%, iou: 89.52%, f1: 94.46%, 189.89ms
@20230805_1836 [EP 511/1000] lr: 7.314758113352582e-05, took: 0h:5m:4s, ETA: 1d:17h:17m:36s [TRAIN] loss: 0.0213, accu-50: 97.90%, iou: 95.83%, f1: 97.87% 689.53ms [EVAL] [117/117 step] loss: 0.0557, accu-50: 94.59%, iou: 89.48%, f1: 94.43%, 189.73ms
@20230805_1840 [EP 512/1000] lr: 7.24786295904778e-05, took: 0h:5m:2s, ETA: 1d:16h:56m:16s [TRAIN] loss: 0.0213, accu-50: 97.90%, iou: 95.84%, f1: 97.87% 690.06ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.70%, iou: 89.53%, f1: 94.46%, 189.86ms
@20230805_1845 [EP 513/1000] lr: 7.18157971277833e-05, took: 0h:5m:1s, ETA: 1d:16h:43m:7s [TRAIN] loss: 0.0212, accu-50: 97.91%, iou: 95.86%, f1: 97.88% 689.88ms [EVAL] [117/117 step] loss: 0.0557, accu-50: 94.59%, iou: 89.48%, f1: 94.43%, 190.00ms
@20230805_1850 [EP 514/1000] lr: 7.115902553778142e-05, took: 0h:5m:0s, ETA: 1d:16h:30m:0s [TRAIN] loss: 0.0211, accu-50: 97.92%, iou: 95.87%, f1: 97.89% 689.75ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.64%, iou: 89.50%, f1: 94.45%, 189.87ms
@20230805_1855 [EP 515/1000] lr: 7.050825661281124e-05, took: 0h:4m:59s, ETA: 1d:16h:16m:55s [TRAIN] loss: 0.0210, accu-50: 97.93%, iou: 95.88%, f1: 97.90% 690.35ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.61%, iou: 89.54%, f1: 94.46%, 189.87ms
