

** [etri] Launch Training on 20230806_2052
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "plot": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "early_stop": false,
  "patience": 50,
  "lr_scheduling": "exp",
  "stepwise_scheduling": true,
  "warmup": 50,
  "lr": 0.008,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n",
  "finalEPOCH": 0,
  "isCompleted": false,
  "optimizer": "Adam",
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB_20230711_exp.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230806_2057 @20230806_2057 [EP 1/500] lr: 0.006123698782175779, took: 337.32s (avg: 337.32s), ETA: 1d:22h:42m:43s [TRAIN] loss: 0.3669, iou: 0.4857, f1: 0.6331 [EVAL] loss: 0.9904, iou: 0.0055, f1: 0.0096
@20230806_2102 @20230806_2102 [EP 2/500] lr: 0.004957858473062515, took: 295.81s (avg: 295.81s), ETA: 1d:16h:48m:30s [TRAIN] loss: 0.1977, iou: 0.6741, f1: 0.8023 [EVAL] loss: 0.9117, iou: 0.0512, f1: 0.0883
@20230806_2108 @20230806_2108 [EP 3/500] lr: 0.0041649313643574715, took: 298.38s (avg: 298.38s), ETA: 1d:17h:8m:26s [TRAIN] loss: 0.1451, iou: 0.7479, f1: 0.8549 [EVAL] loss: 0.6721, iou: 0.2026, f1: 0.3279
@20230806_2113 @20230806_2113 [EP 4/500] lr: 0.003590664127841592, took: 287.93s (avg: 287.93s), ETA: 1d:15h:32m:32s [TRAIN] loss: 0.1277, iou: 0.7744, f1: 0.8723 [EVAL] loss: 0.9461, iou: 0.0299, f1: 0.0539
@20230806_2117 @20230806_2117 [EP 5/500] lr: 0.0031555695459246635, took: 288.07s (avg: 288.07s), ETA: 1d:15h:36m:0s [TRAIN] loss: 0.1162, iou: 0.7925, f1: 0.8838 [EVAL] loss: 0.7453, iou: 0.1522, f1: 0.2547
@20230806_2122 @20230806_2122 [EP 6/500] lr: 0.0028145229443907738, took: 288.00s (avg: 288.00s), ETA: 1d:15h:31m:12s [TRAIN] loss: 0.1058, iou: 0.8092, f1: 0.8942 [EVAL] loss: 0.6693, iou: 0.2069, f1: 0.3307
@20230806_2127 @20230806_2127 [EP 7/500] lr: 0.002540005138143897, took: 288.13s (avg: 288.13s), ETA: 1d:15h:26m:24s [TRAIN] loss: 0.0965, iou: 0.8246, f1: 0.9035 [EVAL] loss: 0.2919, iou: 0.5507, f1: 0.7081
@20230806_2132 @20230806_2132 [EP 8/500] lr: 0.0023142790887504816, took: 288.06s (avg: 288.06s), ETA: 1d:15h:21m:36s [TRAIN] loss: 0.0918, iou: 0.8323, f1: 0.9082 [EVAL] loss: 0.3268, iou: 0.5109, f1: 0.6732
@20230806_2137 @20230806_2137 [EP 9/500] lr: 0.002125398488715291, took: 287.95s (avg: 287.95s), ETA: 1d:15h:8m:37s [TRAIN] loss: 0.0875, iou: 0.8395, f1: 0.9125 [EVAL] loss: 0.7743, iou: 0.1318, f1: 0.2257
@20230806_2142 @20230806_2142 [EP 10/500] lr: 0.001965022413060069, took: 288.01s (avg: 288.01s), ETA: 1d:15h:12m:0s [TRAIN] loss: 0.0836, iou: 0.8462, f1: 0.9164 [EVAL] loss: 0.5145, iou: 0.3283, f1: 0.4855
@20230806_2147 @20230806_2147 [EP 11/500] lr: 0.0018271516310051084, took: 287.95s (avg: 287.95s), ETA: 1d:14h:59m:3s [TRAIN] loss: 0.0792, iou: 0.8536, f1: 0.9208 [EVAL] loss: 0.7562, iou: 0.1436, f1: 0.2438
