

** [ETRI] Launch Training on 20230605_1912
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230605_1920 [EP 1/500] took: 0h:8m:41s, ETA: 3d:0h:12m:59s [TRAIN] loss: 0.3013, accu-50: 12.42%, iou: 56.33%, f1: 69.87% 850.06ms [EVAL] [1/138 step] loss: 0.9125, accu-50: 65.27%, iou: 4.37%, f1: 8.03%, 230.96ms
@20230605_1929 [EP 2/500] took: 0h:8m:28s, ETA: 2d:22h:16m:24s [TRAIN] loss: 0.1939, accu-50: 84.84%, iou: 69.17%, f1: 80.61% 824.17ms [EVAL] [1/138 step] loss: 0.9829, accu-50: 61.29%, iou: 0.50%, f1: 0.99%, 226.93ms
@20230605_1937 [EP 3/500] took: 0h:8m:26s, ETA: 2d:21h:51m:22s [TRAIN] loss: 0.1737, accu-50: 87.43%, iou: 72.20%, f1: 82.63% 831.96ms [EVAL] [1/138 step] loss: 0.9313, accu-50: 91.49%, iou: 3.22%, f1: 6.15%, 231.46ms
@20230605_1946 [EP 4/500] took: 0h:8m:30s, ETA: 2d:22h:16m:0s [TRAIN] loss: 0.1663, accu-50: 88.79%, iou: 73.37%, f1: 83.37% 863.56ms [EVAL] [1/138 step] loss: 0.9505, accu-50: 11.06%, iou: 2.22%, f1: 4.23%, 243.96ms
@20230605_1955 [EP 5/500] took: 0h:8m:40s, ETA: 2d:23h:30m:0s [TRAIN] loss: 0.1549, accu-50: 89.95%, iou: 75.14%, f1: 84.51% 911.27ms [EVAL] [1/138 step] loss: 0.8319, accu-50: 93.55%, iou: 8.98%, f1: 16.09%, 257.71ms
@20230605_2003 [EP 6/500] took: 0h:8m:36s, ETA: 2d:22h:48m:24s [TRAIN] loss: 0.1490, accu-50: 90.85%, iou: 76.10%, f1: 85.10% 815.53ms [EVAL] [1/138 step] loss: 0.1871, accu-50: 92.97%, iou: 68.46%, f1: 80.57%, 225.26ms
@20230605_2012 [EP 7/500] took: 0h:8m:32s, ETA: 2d:22h:6m:56s [TRAIN] loss: 0.1448, accu-50: 91.11%, iou: 76.77%, f1: 85.52% 812.17ms [EVAL] [1/138 step] loss: 0.2097, accu-50: 93.06%, iou: 65.34%, f1: 78.31%, 225.15ms
@20230605_2020 [EP 8/500] took: 0h:8m:29s, ETA: 2d:21h:33m:48s [TRAIN] loss: 0.1410, accu-50: 91.64%, iou: 77.39%, f1: 85.90% 811.73ms [EVAL] [1/138 step] loss: 0.9251, accu-50: 96.73%, iou: 3.54%, f1: 6.77%, 224.82ms
@20230605_2028 [EP 9/500] took: 0h:8m:27s, ETA: 2d:21h:8m:57s [TRAIN] loss: 0.1384, accu-50: 91.88%, iou: 77.81%, f1: 86.16% 811.61ms [EVAL] [1/138 step] loss: 0.1962, accu-50: 88.14%, iou: 67.16%, f1: 79.66%, 224.81ms
@20230605_2036 [EP 10/500] took: 0h:8m:26s, ETA: 2d:20h:52m:20s [TRAIN] loss: 0.1370, accu-50: 92.14%, iou: 78.04%, f1: 86.30% 811.67ms [EVAL] [1/138 step] loss: 0.1681, accu-50: 87.82%, iou: 71.21%, f1: 82.47%, 225.15ms
@20230605_2044 [EP 11/500] took: 0h:8m:25s, ETA: 2d:20h:35m:45s [TRAIN] loss: 0.1340, accu-50: 92.44%, iou: 78.29%, f1: 86.60% 811.38ms [EVAL] [1/138 step] loss: 0.5383, accu-50: 40.43%, iou: 29.78%, f1: 45.45%, 224.55ms
@20230605_2053 [EP 12/500] took: 0h:8m:24s, ETA: 2d:20h:19m:12s [TRAIN] loss: 0.0961, accu-50: 89.43%, iou: 82.88%, f1: 90.39% 810.92ms [EVAL] [1/138 step] loss: 0.1137, accu-50: 85.15%, iou: 78.92%, f1: 87.91%, 224.70ms
@20230605_2101 [EP 13/500] took: 0h:8m:23s, ETA: 2d:20h:2m:41s [TRAIN] loss: 0.0710, accu-50: 92.31%, iou: 86.80%, f1: 92.90% 811.32ms [EVAL] [1/138 step] loss: 0.1294, accu-50: 87.76%, iou: 76.45%, f1: 86.34%, 225.20ms
@20230605_2109 [EP 14/500] took: 0h:8m:22s, ETA: 2d:19h:46m:12s [TRAIN] loss: 0.0655, accu-50: 93.18%, iou: 87.75%, f1: 93.45% 810.80ms [EVAL] [1/138 step] loss: 0.2977, accu-50: 60.27%, iou: 53.67%, f1: 69.51%, 224.96ms
@20230605_2117 [EP 15/500] took: 0h:8m:22s, ETA: 2d:19h:37m:50s [TRAIN] loss: 0.0619, accu-50: 93.49%, iou: 88.38%, f1: 93.81% 810.95ms [EVAL] [1/138 step] loss: 0.1039, accu-50: 94.55%, iou: 80.54%, f1: 88.89%, 225.02ms
@20230605_2126 [EP 16/500] took: 0h:8m:21s, ETA: 2d:19h:21m:24s [TRAIN] loss: 0.0620, accu-50: 93.59%, iou: 88.36%, f1: 93.80% 811.10ms [EVAL] [1/138 step] loss: 0.1441, accu-50: 82.17%, iou: 74.22%, f1: 84.87%, 225.00ms
@20230605_2134 [EP 17/500] took: 0h:8m:20s, ETA: 2d:19h:5m:0s [TRAIN] loss: 0.0587, accu-50: 93.93%, iou: 88.94%, f1: 94.13% 810.73ms [EVAL] [1/138 step] loss: 0.1327, accu-50: 82.76%, iou: 75.95%, f1: 86.01%, 224.86ms
