

** [etri] Launch Training on 20230610_1522
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.4,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.005408663768321276,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_1531 [EP 1/500] took: 0h:8m:45s, ETA: 3d:0h:46m:15s [TRAIN] loss: 0.3572, accu-50: 11.96%, iou: 51.58%, f1: 64.28% 856.84ms [EVAL] [138/138 step] loss: 0.9820, accu-50: 20.09%, iou: 0.92%, f1: 1.80%, 233.39ms
@20230610_1539 [EP 2/500] took: 0h:8m:34s, ETA: 2d:23h:6m:12s [TRAIN] loss: 0.1952, accu-50: 84.54%, iou: 68.98%, f1: 80.48% 836.05ms [EVAL] [138/138 step] loss: 0.9999, accu-50: 97.10%, iou: 0.00%, f1: 0.01%, 231.57ms
@20230610_1548 [EP 3/500] took: 0h:8m:34s, ETA: 2d:22h:57m:38s [TRAIN] loss: 0.1737, accu-50: 87.26%, iou: 72.20%, f1: 82.63% 852.55ms [EVAL] [138/138 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 236.35ms
@20230610_1557 [EP 4/500] took: 0h:8m:35s, ETA: 2d:22h:57m:20s [TRAIN] loss: 0.1607, accu-50: 89.28%, iou: 74.24%, f1: 83.93% 868.65ms [EVAL] [138/138 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 229.14ms
@20230610_1605 [EP 5/500] took: 0h:8m:34s, ETA: 2d:22h:40m:30s [TRAIN] loss: 0.1555, accu-50: 89.53%, iou: 75.08%, f1: 84.45% 826.52ms [EVAL] [138/138 step] loss: 0.9649, accu-50: 90.20%, iou: 1.83%, f1: 3.51%, 226.32ms
@20230610_1614 [EP 6/500] took: 0h:8m:33s, ETA: 2d:22h:23m:42s [TRAIN] loss: 0.1560, accu-50: 89.85%, iou: 74.61%, f1: 84.40% 821.64ms [EVAL] [138/138 step] loss: 0.1863, accu-50: 75.32%, iou: 69.17%, f1: 81.37%, 256.75ms
@20230610_1623 [EP 7/500] took: 0h:8m:36s, ETA: 2d:22h:39m:48s [TRAIN] loss: 0.1134, accu-50: 89.55%, iou: 80.22%, f1: 88.66% 868.81ms [EVAL] [138/138 step] loss: 0.1075, accu-50: 86.24%, iou: 80.63%, f1: 89.25%, 249.23ms
@20230610_1631 [EP 8/500] took: 0h:8m:36s, ETA: 2d:22h:31m:12s [TRAIN] loss: 0.0824, accu-50: 91.18%, iou: 84.84%, f1: 91.76% 861.76ms [EVAL] [138/138 step] loss: 0.2194, accu-50: 92.64%, iou: 64.17%, f1: 78.06%, 229.14ms
@20230610_1640 [EP 9/500] took: 0h:8m:37s, ETA: 2d:22h:30m:47s [TRAIN] loss: 0.0774, accu-50: 91.96%, iou: 85.67%, f1: 92.26% 869.83ms [EVAL] [138/138 step] loss: 0.1463, accu-50: 90.06%, iou: 74.64%, f1: 85.37%, 248.12ms
@20230610_1649 [EP 10/500] took: 0h:8m:37s, ETA: 2d:22h:22m:10s [TRAIN] loss: 0.0730, accu-50: 92.55%, iou: 86.45%, f1: 92.70% 850.39ms [EVAL] [138/138 step] loss: 0.7966, accu-50: 32.17%, iou: 11.58%, f1: 20.34%, 235.40ms
@20230610_1657 [EP 11/500] took: 0h:8m:35s, ETA: 2d:21h:57m:15s [TRAIN] loss: 0.0698, accu-50: 92.86%, iou: 87.00%, f1: 93.02% 836.04ms [EVAL] [138/138 step] loss: 0.3223, accu-50: 78.82%, iou: 51.63%, f1: 67.77%, 226.23ms
