


** [ELECTRON] Launch Training on 20230603_1900
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230603_1909 [EP 1/500] took: 0h:8m:43s, ETA: 3d:0h:29m:37s [TRAIN] loss: 0.3407, accu-50: 11.65%, iou: 52.96% 852.50ms [EVAL] [1/138 step] loss: 0.9148, accu-50: 36.17%, iou: 4.26%, 235.67m
@20230603_1917 [EP 2/500] took: 0h:8m:33s, ETA: 2d:22h:57m:54s [TRAIN] loss: 0.2030, accu-50: 83.92%, iou: 67.87% 819.69ms [EVAL] [1/138 step] loss: 0.4624, accu-50: 43.41%, iou: 36.61%, 225.08m
@20230603_1926 [EP 3/500] took: 0h:8m:25s, ETA: 2d:21h:43m:5s [TRAIN] loss: 0.1796, accu-50: 87.33%, iou: 71.32% 812.90ms [EVAL] [1/138 step] loss: 0.5930, accu-50: 94.09%, iou: 25.32%, 224.85m
@20230603_1934 [EP 4/500] took: 0h:8m:21s, ETA: 2d:21h:1m:36s [TRAIN] loss: 0.1690, accu-50: 88.71%, iou: 72.97% 812.16ms [EVAL] [1/138 step] loss: 0.5358, accu-50: 65.69%, iou: 29.97%, 225.16m
@20230603_1942 [EP 5/500] took: 0h:8m:21s, ETA: 2d:20h:53m:15s [TRAIN] loss: 0.1609, accu-50: 89.79%, iou: 74.21% 811.58ms [EVAL] [1/138 step] loss: 0.4448, accu-50: 95.72%, iou: 38.30%, 224.58m
@20230603_1950 [EP 6/500] took: 0h:8m:20s, ETA: 2d:20h:36m:40s [TRAIN] loss: 0.1552, accu-50: 90.44%, iou: 75.12% 811.53ms [EVAL] [1/138 step] loss: 0.1277, accu-50: 92.34%, iou: 77.42%, 224.99m
@20230603_1959 [EP 7/500] took: 0h:8m:19s, ETA: 2d:20h:20m:7s [TRAIN] loss: 0.1496, accu-50: 91.27%, iou: 76.01% 811.44ms [EVAL] [1/138 step] loss: 0.3611, accu-50: 85.63%, iou: 46.79%, 224.90m
@20230603_2007 [EP 8/500] took: 0h:8m:17s, ETA: 2d:19h:55m:24s [TRAIN] loss: 0.1473, accu-50: 91.43%, iou: 76.39% 811.31ms [EVAL] [1/138 step] loss: 0.4941, accu-50: 43.33%, iou: 33.54%, 224.82m
@20230603_2015 [EP 9/500] took: 0h:8m:16s, ETA: 2d:19h:38m:56s [TRAIN] loss: 0.1447, accu-50: 91.59%, iou: 76.81% 811.13ms [EVAL] [1/138 step] loss: 0.6887, accu-50: 92.47%, iou: 18.19%, 225.28m
@20230603_2023 [EP 10/500] took: 0h:8m:15s, ETA: 2d:19h:22m:30s [TRAIN] loss: 0.1427, accu-50: 91.90%, iou: 77.13% 810.88ms [EVAL] [1/138 step] loss: 0.8211, accu-50: 96.20%, iou: 9.64%, 225.19m
@20230603_2031 [EP 11/500] took: 0h:8m:15s, ETA: 2d:19h:14m:15s [TRAIN] loss: 0.1401, accu-50: 92.30%, iou: 77.56% 810.69ms [EVAL] [1/138 step] loss: 0.2513, accu-50: 85.58%, iou: 59.77%, 224.76m
